TransactionRef,AccountNumber,CustomerName,BankBranch,TransactionType,Channel,Amount,Date,Time,Status,BeneficiaryAccount,PhoneNumber,State,Currency
REF200238,0083140807,Tunde Okonkwo,STERLING BANK Apapa,Withdrawal,Agent Banking,"₦1,380,755.53",2026/05/02,12:30 PM,Reversed,0058181396,0522 872 8080,Oyo State,NGN 
REF200144,0058966946,Kunle Olawale,Access Bank Garki,Loan Repayment,ATM,1160604.59,2025-11-05,04:44 PM,failed,Unknown,51820377889,LAGOS,NGN 
REF200202,0036687537,Segun Ajayi,zenith bank Port Harcourt Main,Withdrawal,Agent Banking,713263.88 naira,12/26/2025,16:20,SUCCESSFUL,0040587988,234-375-758-441,Kano,USD
REF200455,0038538251,Halima Adeyemi   ,GTBank Apapa,Salary Credit,POS,"N963,539",14 March 2026,01:31 PM,SUCCESSFUL,nil,00635651269,Ogun,NGN 
REF200190,0023718431,Adaeze Nnamdi,Access Bank Port Harcourt Main,Salary Credit,Agent Banking,"₦1,160,628.68",2025/10/20,15:44,successful,0035808537,0000000000,Ogun,Naira
REF200416,0035808537,Amara Eze,Zenith Bank Victoria Island,Salary Credit,USSD,"₦867,030.29",26-Jan-2025,13:33,failed,nil,0515 832 8182,Oyo,Naira
REF200371,0038317637,musa adeyemi,Zenith Bank Garki,,Mobile App,"₦412,372.98",21.12.2025,13:39,successful,0066629388,234-353-465-549,Akwa Ibom,USD
REF200044,0048840994,ibrahim adeyemi   ,UBA Apapa,Airtime Purchase,Mobile App,-645155.49 naira,10/18/2025,23:08,Reversed,0031831063,234-482-366-299,Abuja,NGN 
REF200288,0099949389,  Tunde Okafor,Access Bank Apapa,Bill Payment,ussd,"₦1,406,408.49",27/01/2025,03:29 PM,Pending,  ,234-500-170-127,Ogun,USD
REF200449,0045833156,Amara Okafor   ,UBA Port Harcourt Main,Salary Credit,Branch,714315.69,13-Apr-2025,18:30,Pending,  ,(425) 799-1366,KANO,USD
REF200214,0030868105,Funmilayo Bello,Sterling Bank Port Harcourt Main,Withdrawal,Mobile App,"NGN 746,803",01.01.2025,01:17,SUCCESSFUL,,234-841-459-332,Enugu,NGN
REF200016,0038119557,Chinedu Okeke,Sterling Bank Apapa,Airtime Purchase,mobile app,93867.43 naira,07.03.2026,13:17,Failed,0030868105,01171822782,Enugu,ngn
REF200308,0099949389,  kunle abubakar,uba Victoria Island,POS Payment,ussd,nil,2025-07-29,04:17,Failed,0093016315,08635365419,Enugu,Naira
REF200355,0055667651,Blessing Mohammed,Zenith Bank Wuse 2,Deposit,Branch,269189.79 naira,2026/04/17,08:48 AM,Pending,,09702462996,Edo,NGN 
REF200039,0097226012,Ngozi Afolabi,Zenith Bank Victoria Island,Deposit,Agent Banking,"NGN 537,684",01/09/2025,08:05 PM,successful,N/A,0754 330 3654,Abuja,ngn
REF200472,0018883684,Grace Olawale,Sterling Bank Victoria Island,Salary Credit,POS,"NGN 1,486,468",27.09.2025,05:28,Failed,0060992979,79080759579,Abuja,ngn
REF200148,0052235350,Grace Chukwu,GTBank Garki,Transfer,Mobile App,"N951,251",02 November 2025,23:07,Pending,0014308421,234-816-850-542,KANO,USD
REF200267,0031831063,Chinedu Chukwu,GTBank Apapa,Loan Repayment,ATM,"₦1,190,326.94",2026-05-21,10:21,failed,0039958838,(573) 875-7177,Oyo,USD
REF200307,0045935572,Kunle Afolabi   ,fidelity bank Victoria Island,Deposit,ATM,"493,370.43 ",10/12/2025,10:50,successful,  ,0000000000,Abuja,NGN
REF200124,0063100814,Chioma Eze,Wema Bank Apapa,Bill Payment,Branch,684944.78,2026-01-05,06:47 AM,Successful,0057683626,+234988516560,Akwa Ibom,Naira
REF200081,0052235350,Ngozi Suleiman,GTBank Ikeja,Deposit,mobile app,"₦733,187.34",18/05/2026,15:43,Successful,0019335534,(499) 471-7464,Edo,USD
REF200461,0036687537,  Chinedu Chukwu,Wema Bank Wuse 2,Salary Credit,Mobile App,"NGN 70,226",2026-01-22,08:25 PM,Reversed,,08490277038,Delta,NGN 
REF200331,0045935572,EMEKA OKONKWO,Sterling Bank Victoria Island,Bill Payment,POS,Unknown,22.06.2025,11:01 PM,Pending,0047295260,42701039308,Edo,USD
REF200357,0096977837,ZAINAB LAWAL,Access Bank Apapa,Deposit,mobile app,"₦299,606.76",03.12.2025,02:12,successful,0089089901,47132475469,Enugu,ngn
REF200261,0095225343,adaeze nnamdi,Access Bank Garki,Withdrawal,mobile app,"₦634,093.26",2026-01-13,08:57 PM,Failed,NULL,234-416-724-342,Ogun,NGN
REF200315,0071662963,Chioma Ajayi,GTBank Apapa,NIL,mobile app,1022949.07,12/18/2025,10:45 AM,Successful,NIL,+234990623445,Kaduna,NGN 
REF200385,0023756669,Ibrahim Bello,Wema Bank Victoria Island,Airtime Purchase,ussd,"155,858.73 ",26-Jan-2025,05:15 PM,Successful,0077005685,+234356420873,Rivers,USD
REF200373,0047295260,Zainab Balogun,Fidelity Bank Victoria Island,POS Payment,USSD,,26-Nov-2025,16:28,Failed,0091030736,(168) 460-2235,Cross River,USD
REF200484,0083140807,Zainab Olawale,Zenith Bank Wuse 2,POS Payment,Mobile App,"₦67,558.70",2025/08/08,03:22 AM,Pending,0031429110,234-569-961-125,Rivers,Naira
REF200311,0088320463,Grace Okafor,access bank Wuse 2,Transfer,Internet Banking,"₦1,389,814.88",2025/09/10,08:16,successful,0099949389,04937597383,Anambra,Naira
REF200231,0066629388,Ifeoma Ogundimu,Sterling Bank Wuse 2,Transfer,USSD,"₦517,707.86",12.11.2025,15:12,Pending,0099949389,01751830469,LAGOS,NGN 
REF200408,0088320463,Blessing Afolabi,wema bank Victoria Island,Airtime Purchase,USSD,1246641.2,10/30/2025,03:44,Pending,0056164955,79968460810,Plateau,USD
REF200428,0041244663,CHIDI ADEKUNLE,GTBank Garki,Transfer,ussd,"N1,023,186",23-Oct-2025,07:04,Successful,0013999315,09688143536,Rivers State,ngn
REF200344,0040587988,Ifeoma Ogundimu,access bank Wuse 2,Transfer,Agent Banking,"N159,955",13/12/2025,02:54 AM,Successful,0023718431,0872 050 6149,rivers,NGN
REF200099,0045935572,TUNDE OGUNDIMU,sterling bank Port Harcourt Main,Transfer,Branch,"₦196,326.08",2026-05-12,11:43 AM,Pending,0081971316,38692221969,Rivers State,Naira
REF200015,0098753260,Bisi Nwosu,uba Ikeja,Airtime Purchase,POS,"NGN 1,360,329",04/02/2026,05:25 AM,successful,,0957 015 4303,Kaduna,USD
REF200203,0097226012,Bola Okeke,WEMA BANK Garki,Salary Credit,USSD,"1,470,317.74 ",17-Dec-2025,06:35 PM,Successful,--,86652404157,Edo,NGN
REF200165,0028740864,femi adekunle,Wema Bank Wuse 2,Bill Payment,mobile app,"NGN 316,523",04/14/2025,11:06,Reversed,0014265799,+234486874034,Anambra,NGN 
REF200022,0052339391,segun ogundimu   ,Zenith Bank Port Harcourt Main,Transfer,ussd,"NGN 553,846",28.06.2026,11:44,Pending,,234-513-338-726,rivers,ngn
REF200222,0088461803,FEMI NWOSU,Wema Bank Apapa,Deposit,ATM,"NGN 443,095",06/10/2025,21:46,SUCCESSFUL,,0512 868 2300,Lagos State,USD
REF200423,0056164955,  Segun Adekunle,wema bank Port Harcourt Main,Airtime Purchase,Mobile App,541806.57,19-Jul-2025,00:11,Reversed,0097226012,02481934667,Cross River,USD
REF200209,0047308985,Funmilayo Balogun,Access Bank Victoria Island,Salary Credit,mobile app,392248.26,30-Aug-2025,16:33,Failed,0040742311,05478872874,Edo,ngn
REF200426,0066629388,Bola Okonkwo,Access Bank Victoria Island,Bill Payment,ATM,"NGN 852,476",30.03.2025,07:19 PM,failed,--,+234607283268,Oyo State,NGN 
REF200116,0058586340,funmilayo balogun,Zenith Bank Port Harcourt Main,Bill Payment,Branch,"NGN 903,782",2025-08-15,09:49 PM,Successful,unknown,+234020539502,Imo,NGN 
REF200466,0091756179,Wale Mohammed,GTBank Wuse 2,Airtime Purchase,Agent Banking,238545.32,06/19/2025,21:40,Pending,0055667651,81845184894,Oyo,NGN
REF200466,0091756179,Wale Mohammed,GTBank Wuse 2,Airtime Purchase,Agent Banking,238545.32,06/19/2025,21:40,Pending,0055667651,81845184894,Oyo,NGN
REF200419,0096282117,FUNMILAYO  AFOLABI,UBA Ikeja,Salary Credit,Mobile App,"N1,080,335",19/05/2025,05:36,SUCCESSFUL,,234-305-616-484,Oyo,NGN 
REF200321,0047308985,Ibrahim Abubakar,STERLING BANK Apapa,Deposit,Branch,710395.72 naira,12/23/2025,13:21,successful,0090801586,03236519941,Kano,NGN
REF200127,0077827638,Grace Lawal,first bank Wuse 2,Loan Repayment,Mobile App,"N1,203,644",18.02.2026,10:32 PM,Reversed,,0809 402 4455,Imo,ngn
REF200480,0067503414,SEGUN OKEKE,Access Bank Wuse 2,Deposit,Agent Banking,803053.38,2025-12-20,03:18,Successful,0083140807,+234489061203,Imo,NGN
REF200290,0056164955,Blessing Adeyemi,Wema Bank Victoria Island,Salary Credit,POS,"849,362.32 ",10-Dec-2025,09:01 PM,Successful,0021668732,(520) 643-6110,Fct Abuja,Naira
REF200038,0032969840,Chinedu Adeyemi   ,Zenith Bank Garki,POS Payment,ATM,"NGN 1,236,375",04 April 2025,10:37 PM,failed,,+234634216073,Abuja,NGN
REF200263,0052339391,Kemi Eze,Sterling Bank Ikeja,Loan Repayment,Internet Banking,"N512,331",11-Jul-2025,07:12,Reversed,?,(058) 911-3529,Kaduna,NGN 
REF200386,0099949389,tobi adekunle   ,STERLING BANK Apapa,Salary Credit,mobile app,"₦720,959.46",2025/10/24,22:47,Reversed,-,0530 011 9721,Imo,NGN 
REF200424,0013561597,Yusuf Mohammed,Zenith Bank Ikeja,Deposit,Mobile App,"NGN 57,771",2025-01-30,20:55,Failed,,66506180919,Akwa Ibom,ngn
REF200375,0039345092,Bola Chukwu,sterling bank Wuse 2,Loan Repayment,Mobile App,714622.52 naira,28/06/2026,15:27,Reversed,NULL,(074) 329-2712,Oyo,NGN 
REF200404,0047295260,Zainab Lawal,ZENITH BANK Ikeja,n/a,USSD,"₦1,314,670.34",16-Jan-2025,05:41,Pending,0084752529,78292216995,Oyo State,USD
REF200066,0059684848,amaka okafor,GTBank Apapa,POS Payment,ussd,"₦761,218.82",06 June 2026,18:10,successful,0046231783,(379) 965-0752,Plateau,NGN
REF200342,0030868105,GRACE BELLO,WEMA BANK Victoria Island,Salary Credit,Internet Banking,"₦386,389.08",2025/07/31,03:05 PM,Pending,0085329037,0062 962 0153,Edo,USD
REF200075,0046231783,Sadiq Suleiman,Access Bank Apapa,Withdrawal,Agent Banking,"NGN 1,337,055",04/05/2026,12:53,failed,0022448136,71902294131,Anambra,NGN 
REF200037,0013561597,Grace Eze,Wema Bank Apapa,Deposit,ATM,1424096.46 naira,06.03.2026,20:02,Reversed,0088461803,234-869-232-260,lagos,NGN
REF200278,0048840994,Chinedu Olawale,STERLING BANK Ikeja,Bill Payment,USSD,"₦1,210,478.08",11/25/2025,01:42 PM,Failed,0066629388,0903 404 3842,Edo,Naira
REF200322,0045551614,  Aliyu Okonkwo,GTBANK Garki,Bill Payment,Internet Banking,"N1,284,284",15/04/2025,11:09 PM,successful,0095899313,+234137215107,Edo,NGN 
REF200325,0039345092,SEGUN SULEIMAN,GTBank Garki,Airtime Purchase,ussd,"₦132,187.48",2025-09-20,01:11,Pending,NIL,07687014626,Kano,ngn
REF200284,0063100814,Tunde Adekunle,WEMA BANK Victoria Island,Transfer,Internet Banking,739510.39,03 August 2025,00:14,SUCCESSFUL,  ,invalid,Edo,USD
REF200507,0055176955,Chioma Afolabi,FIRST BANK Port Harcourt Main,Loan Repayment,ussd,91314.15,19-Jul-2025,17:52,SUCCESSFUL,0087490893,06524077848,Imo,ngn
REF200089,0046913810,Blessing Abubakar,Wema Bank Port Harcourt Main,Withdrawal,mobile app,"N300,100",2025-07-04,11:16 PM,Reversed,0093016315,00861317127,Delta,USD
REF200051,0057683626,Blessing Yusuf,Sterling Bank Wuse 2,Transfer,Internet Banking,"1,213,031.49 ",00/00/0000,06:37,SUCCESSFUL,,07277434873,oyo,ngn
REF200390,0077827638,Segun Afolabi,zenith bank Port Harcourt Main,Salary Credit,ATM,"N36,852",2025-04-09,06:56,SUCCESSFUL,,67467621202,Enugu,NGN
REF200391,0020709497,musa suleiman,first bank Apapa,Withdrawal,Internet Banking,?,14 June 2026,10:10,SUCCESSFUL,0091756179,16979729659,Imo,NGN
REF200425,--,Tobi Adeyemi,ZENITH BANK Garki,Transfer,USSD,"₦254,235.71",not set,05:37 PM,SUCCESSFUL,0032969840,00158144914,Oyo State,NGN
REF200493,0060929647,BOLA BALOGUN,zenith bank Apapa,POS Payment,ATM,"NGN 1,399,564",28 June 2026,21:26,SUCCESSFUL,-,234-077-406-493,oyo,Naira
REF200517,0081691040,Bisi Suleiman   ,Access Bank Garki,Transfer,Internet Banking,380173.86,21-May-2025,11:21 AM,successful,,(288) 619-5761,Abuja,ngn
REF200097,0070855700,zainab yusuf,ZENITH BANK Wuse 2,Deposit,Internet Banking,1208258.02,12/26/2025,18:10,failed,0071586053,0091 343 1611,Rivers,ngn
REF200110,0058181396,Zainab Nwosu   ,ACCESS BANK Wuse 2,Salary Credit,Agent Banking,"NGN 1,045,469",11.02.2025,07:20,Successful,0096282117,+234004711382,Port Harcourt,ngn
REF200246,0058966946,Chinedu Nnamdi,wema bank Port Harcourt Main,Loan Repayment,Mobile App,603750.28 naira,06/12/2026,03:28 PM,Reversed,--,01489025039,Edo,Naira
REF200441,0067503414,Amara Afolabi,Access Bank Garki,Withdrawal,mobile app,NULL,2026/04/21,22:23,Successful,?,18449892665,Enugu,USD
REF200164,0045935572,Kemi Bello,UBA Victoria Island,Deposit,mobile app,-1478049.31 naira,09 October 2025,16:45,failed,N/A,0722 170 4303,Kaduna,NGN
REF200440,0015831819,Aliyu Ajayi,first bank Apapa,Withdrawal,POS,-268344.35 naira,06/12/2025,13:41,successful,unknown,+234038567700,Enugu,ngn
REF200156,0083197857,CHIOMA MOHAMMED,Sterling Bank Garki,Withdrawal,Mobile App,"1,086,418.10 ",17.12.2025,03:28 PM,successful,,03615305152,Imo,NGN 
REF200005,0038898923,Sadiq  Balogun,GTBank Victoria Island,Transfer,ussd,"NGN 285,718",05/04/2026,04:47 AM,Successful,nil,234-816-184-959,Enugu,USD
REF200272,0055176955,halima  suleiman,first bank Apapa,Loan Repayment,USSD,1110208.31,2025-05-10,17:45,Pending,0063843426,04785969691,Delta,ngn
REF200300,0039958838,Ibrahim Ogundimu,Fidelity Bank Port Harcourt Main,Airtime Purchase,Internet Banking,1365498.66 naira,18 May 2026,15:42,successful,0031931511,(684) 866-6188,Abuja,Naira
REF200137,0035808537,OBINNA  OKAFOR,Zenith Bank Garki,Airtime Purchase,Agent Banking,"NGN 666,561",2026-04-04,03:00,Successful,,(681) 645-3521,Ogun,NGN 
REF200490,0032969840,Chioma Adekunle,access bank Ikeja,Loan Repayment,Internet Banking,"₦230,130.31",04 January 2026,07:38,successful,0095225343,0487 282 9979,Enugu,NGN 
REF200465,0058537831,BOLA NNAMDI,Access Bank Victoria Island,Deposit,POS,1069186.68 naira,10 May 2025,11:51,SUCCESSFUL,0070855700,+234376904268,Plateau,USD
REF200058,0059684848,Ngozi Ogundimu,fidelity bank Port Harcourt Main,Airtime Purchase,USSD,"₦101,316.43",11 January 2026,12:21,SUCCESSFUL,0038317637,0653 755 6464,Kano,ngn
REF200007,0022981052,Chioma Mohammed,ZENITH BANK Garki,Withdrawal,ATM,474896.58 naira,2025-09-25,06:58,Failed,0085329037,(255) 341-9283,Plateau,ngn
REF200262,0049349722,Tobi Okeke,GTBANK Port Harcourt Main,Salary Credit,Internet Banking,"1,375,994.37 ",00/00/0000,03:40,Pending,0017507864,61797968868,Delta,USD
REF200031,0020576383,Sadiq Olawale,Sterling Bank Port Harcourt Main,Salary Credit,Mobile App,"N1,172,397",2025/09/29,11:33,Failed,N/A,25135427849,Akwa Ibom,NGN
REF200191,0053524491,Zainab Eze,ZENITH BANK Wuse 2,Bill Payment,mobile app,135724.4,28 November 2025,23:36,successful,n/a,(098) 358-4168,Akwa Ibom,Naira
REF200006,0023756669,  Femi Adeyemi,ACCESS BANK Garki,Withdrawal,USSD,"N730,264",07/14/2025,10:07,SUCCESSFUL,0045833156,,Enugu,USD
REF200201,0066629388,Wale Ogundimu,Zenith Bank Port Harcourt Main,Salary Credit,ATM,"₦297,621.63",2025-03-22,15:53,successful,0088320463,234-497-334-843,Delta,NGN 
REF200452,0084093639,  Aliyu Chukwu,uba Port Harcourt Main,Airtime Purchase,POS,"₦590,616.54",04-Mar-2026,00:11,SUCCESSFUL,,0068 650 8637,Akwa Ibom,ngn
REF200383,0095320121,Ifeoma Yusuf,GTBank Wuse 2,Transfer,Mobile App,1180054.80 naira,09 June 2026,12:44,Successful,0030868105,04618499261,Abuja,ngn
REF200069,0070855700,FEMI ADEKUNLE,UBA Ikeja,Withdrawal,ussd,"₦984,130.09",06/05/2026,07:18,Failed,0058586340,0436 349 5788,Delta,Naira
REF200154,0087490893,Bola Nnamdi,Zenith Bank Wuse 2,Bill Payment,ussd,"N723,424",07 January 2025,05:07 PM,failed,0066722344,N/A,Rivers,NGN
REF200076,0038898923,IFEOMA EZE,gtbank Ikeja,Withdrawal,ussd,"N1,235,129",11/09/2025,03:43 PM,Successful,0010872248,08699938677,Rivers,ngn
REF200104,0063606628,Blessing Ajayi,ZENITH BANK Victoria Island,Deposit,POS,656510.32 naira,2025/09/02,01:58 AM,Pending,0038317637,95339421047,Imo,NGN
REF200119,0089254563,Tunde Yusuf,STERLING BANK Wuse 2,Bill Payment,Mobile App,"NGN 39,091",06/24/2025,21:47,SUCCESSFUL,0063843426,07661771159,Abuja,USD
REF200021,0045833156,Kemi Suleiman,GTBank Victoria Island,Withdrawal,mobile app,318573.72 naira,2025/09/22,11:37,Reversed,0052235350,invalid,Kano,ngn
REF200287,0038538251,  Ibrahim Ajayi,First Bank Wuse 2,Withdrawal,mobile app,"NGN 1,335,181",2025/03/08,04:21,successful,0052235350,(637) 454-5892,Ogun,NGN
REF200482,0084752529,Chioma Suleiman   ,First Bank Wuse 2,Loan Repayment,USSD,780005.78 naira,2025-11-25,17:59,SUCCESSFUL,0020709497,234-615-939-982,Cross River,NGN
REF200212,0041227216,Bisi Okeke   ,First Bank Ikeja,Salary Credit,Branch,957305.29,2025/05/03,02:56,Pending,0038317637,07530463745,Enugu,NGN 
REF200491,0058181396,Ngozi Nnamdi,uba Port Harcourt Main,POS Payment,POS,678741.56,02-Feb-2026,15:49,Pending,0090801586,(884) 578-3174,Edo,NGN 
REF200095,0046913810,Emeka Yusuf,gtbank Garki,Airtime Purchase,ussd,"N1,259,918",16-May-2026,05:42,Successful,Unknown,234-718-702-621,Anambra,NGN
REF200337,0066722344,  ADAEZE OKONKWO,wema bank Garki,Withdrawal,Branch,null,2025/10/15,11:58 AM,SUCCESSFUL,-,234-513-552-157,Plateau,USD
REF200405,0015831819,Wale Afolabi,Wema Bank Wuse 2,Airtime Purchase,Internet Banking,162103.8,16 February 2025,02:31,SUCCESSFUL,0045264581,invalid,Edo,NGN 
REF200450,0022981052,Halima Lawal,WEMA BANK Ikeja,Loan Repayment,USSD,  ,25.04.2025,06:13 AM,failed,0010872248,(103) 886-2912,Ibadan,NGN
REF200245,0047338124,Bola Okeke,Zenith Bank Apapa,Withdrawal,Agent Banking,398100.07 naira,01.11.2025,07:34 PM,failed,0038538251,59180339740,Anambra,ngn
REF200447,0067503414,Chidi  Nnamdi,Zenith Bank Garki,Withdrawal,Agent Banking,"535,073.94 ",16/04/2026,19:26,Successful,0061019678,234-869-904-137,Cross River,Naira
REF200453,0099949389,Adaeze Bello,STERLING BANK Ikeja,Bill Payment,POS,365085.15 naira,30-Nov-2025,04:22 PM,Reversed,0038317637,+234991624731,Akwa Ibom,Naira
REF200192,0040742311,Blessing Yusuf,ACCESS BANK Victoria Island,nil,Branch,"₦217,338.76",22-Feb-2025,14:19,Successful,NULL,0849 912 1655,Delta,NGN 
REF200280,0042857966,Ibrahim Okeke,Sterling Bank Port Harcourt Main,POS Payment,Internet Banking,"NGN 1,445,230",14.04.2025,08:24 AM,successful,,0000000000,Akwa Ibom,USD
REF200338,0066629388,Ngozi Ajayi,ZENITH BANK Port Harcourt Main,POS Payment,ussd,Unknown,2025-10-10,07:10,failed,0017507864,+234331541006,KANO,ngn
REF200229,0088320463,Wale Lawal,Fidelity Bank Apapa,Salary Credit,Internet Banking,672919.43,16-Jun-2025,18:12,Successful,,(462) 873-3427,Fct Abuja,USD
REF200101,0089089901,Ngozi Afolabi,Wema Bank Ikeja,Withdrawal,USSD,"N845,155",18-Jun-2025,15:01,Failed,0081691040,(482) 175-9464,Ogun,USD
REF200446,0099949389,Funmilayo Nnamdi,fidelity bank Wuse 2,Transfer,ussd,"₦927,880.76",24/06/2025,11:44,Successful,0060992979,+234922809202,Oyo,NGN
REF200096,0096282117,Emeka Yusuf,Gtbank Apapa,Withdrawal,USSD,662329.19,12.08.2025,14:30,Reversed,0039476249,0459 615 8657,Rivers,Naira
REF200293,0086125617,TOBI AJAYI,Fidelity Bank Wuse 2,Transfer,POS,1277328.21 naira,16-May-2026,07:08,SUCCESSFUL,0088320463,42622189092,lagos,NGN 
REF200448,0019335534,  Musa Adekunle,Zenith Bank Victoria Island,Airtime Purchase,ATM,"NGN 976,385",08-Sep-2025,07:47,SUCCESSFUL,nil,+234723692929,Delta,NGN
REF200083,0089254563,Sadiq Adeyemi,Zenith Bank Wuse 2,Salary Credit,Mobile App,1046005.86,04.11.2025,23:20,failed,0045551614,(139) 904-9027,Imo,NGN
REF200474,0014308421,Ifeoma Yusuf,zenith bank Victoria Island,Salary Credit,ATM,199981.91 naira,2026-01-30,03:32 AM,Failed,,+234780856271,Delta,Naira
REF200062,0018883684,Grace Abubakar,First Bank Apapa,Salary Credit,mobile app,"NGN 1,295,740",25/03/2025,01:33 AM,successful,0070291817,+234663193149,Kaduna,ngn
REF200346,0045503389,Kemi Lawal,Fidelity Bank Port Harcourt Main,Withdrawal,Internet Banking,638154.2,11/05/2025,21:19,Reversed,,07741862565,Ogun,NGN 
REF200125,0013356886,Bisi Okafor,Wema Bank Port Harcourt Main,Transfer,Mobile App,"NGN 1,016,704",2025-10-03,22:14,Reversed,--,0945 198 3273,Oyo State,USD
REF200259,0089254563,Zainab  Lawal,GTBank Wuse 2,Bill Payment,Internet Banking,"NGN 885,713",unknown date,11:02,Successful,?,0265 479 3564,Ibadan,NGN
REF200206,0023556182,amaka  ogundimu,Wema Bank Victoria Island,Airtime Purchase,Agent Banking,"N1,043,238",,21:16,Reversed,0038119557,71208267734,ABUJA,ngn
REF200244,0094374605,Zainab Lawal,Zenith Bank Ikeja,POS Payment,Agent Banking,"691,633.62 ",03/09/2026,19:23,Pending,  ,06668700217,Akwa Ibom,USD
REF200184,0038538251,BLESSING LAWAL,First Bank Garki,Transfer,Mobile App,"NGN 1,390,131",22 October 2025,12:28 AM,Failed,0039587039,(647) 102-7677,Oyo,NGN
REF200341,0042857966,musa chukwu,Access Bank Garki,Airtime Purchase,Mobile App,"N373,888",unknown date,06:14 PM,Pending,0013356886,(526) 218-1599,Abuja,NGN 
REF200135,0017507864,SADIQ OKONKWO,WEMA BANK Wuse 2,Bill Payment,Internet Banking,973445.30 naira,20-Jun-2025,03:51,Successful,0022981052,N/A,Edo,ngn
REF200045,0084093639,Aliyu Yusuf,Zenith Bank Apapa,Transfer,ussd,"1,381,783.07 ",17/11/2025,19:39,Successful,0099949389,06804436995,Enugu,ngn
REF200034,0015831819,fatima ajayi,Access Bank Port Harcourt Main,Deposit,ussd,"₦1,117,885.65",10/21/2025,07:51 AM,Pending,0094374605,+234640052427,Cross River,USD
REF200035,0055667651,Obinna Yusuf,Fidelity Bank Wuse 2,Withdrawal,ATM,"549,103.37 ",29-May-2026,09:18,failed,--,,Delta,ngn
REF200217,0045833156,Emeka Balogun,Uba Port Harcourt Main,Loan Repayment,Agent Banking,"₦256,448.74",07.03.2025,03:37 AM,Successful,N/A,0398 225 8713,Rivers,USD
REF200360,0066306997,Femi Okonkwo,gtbank Apapa,Deposit,Branch,867776.34 naira,2025/02/07,07:27,successful,0015831819,(030) 705-3457,Enugu,USD
REF200286,0095225343,Obinna Afolabi,first bank Wuse 2,POS Payment,Mobile App,"295,716.79 ",12/04/2025,10:36,failed,N/A,(759) 017-5186,Abuja,NGN
REF200224,0045264581,Halima Adeyemi,First Bank Apapa,POS Payment,USSD,"N1,056,001",02/01/2025,21:24,Reversed,0028728463,234-106-903-311,Delta,USD
REF200143,0096977837,chidi abubakar,Access Bank Ikeja,null,Agent Banking,"NGN 1,057,091",12.01.2026,08:05 PM,Pending,0058586340,+234935978207,Imo,ngn
REF200018,0042857966,  CHINEDU NWOSU,Zenith Bank Victoria Island,Salary Credit,POS,"₦1,427,903.58",2025/08/18,22:11,failed,,07133150983,Imo,ngn
REF200243,0046913810,ngozi chukwu   ,fidelity bank Wuse 2,Bill Payment,mobile app,"NGN 925,601",12/28/2025,09:42 AM,Pending,,234-567-933-410,Abuja,USD
REF200215,0091030736,Blessing Yusuf   ,uba Wuse 2,Withdrawal,POS,1438256.42 naira,03-Apr-2025,12:28,Failed,0046913810,(279) 568-7833,Kano,USD
REF200055,0095320121,Grace Okonkwo,Access Bank Ikeja,NULL,Mobile App,1102912.88,2025-12-07,04:33,SUCCESSFUL,0077005685,234-668-893-734,Lagos,Naira
REF200279,0022448136,Funmilayo Mohammed,ZENITH BANK Victoria Island,POS Payment,Agent Banking,"NGN 1,441,704",05/07/2025,00:55,SUCCESSFUL,0040587988,N/A,Imo,NGN
REF200326,0099949389,Ngozi Ajayi,Access Bank Ikeja,Airtime Purchase,Internet Banking,323211.80 naira,2025/05/18,08:33 PM,Reversed,-,83806578759,Akwa Ibom,USD
REF200189,0038317637,Chidi Bello,GTBank Wuse 2,Salary Credit,Mobile App,"487,680.99 ",14 April 2026,08:25,Reversed,0060806024,33950047974,Lagos State,NGN 
REF200356,0023756669,Emeka Suleiman,GTBANK Ikeja,Airtime Purchase,mobile app,"394,609.74 ",13.02.2025,21:11,Successful,0016150444,0653 074 5054,Abuja,NGN 
REF200460,0063100814,Yusuf Okonkwo,access bank Ikeja,NULL,Branch,1203669.22 naira,28.10.2025,12:41 PM,Pending,0046913810,0114 351 9066,Lagos,Naira
REF200269,0018883684,Emeka Lawal,fidelity bank Victoria Island,Withdrawal,mobile app,"NGN 184,914",07/26/2025,14:59,SUCCESSFUL,0010872248,0825 867 3622,Enugu,NGN 
REF200363,0045833156,Yusuf Okeke,Sterling Bank Garki,Loan Repayment,mobile app,-,19-Jan-2026,05:42 PM,Reversed,  ,0933 334 6800,Akwa Ibom,ngn
REF200318,0048840994,Zainab Olawale,fidelity bank Port Harcourt Main,Loan Repayment,Agent Banking,NULL,20/05/2025,06:14 PM,Successful,0014308421,+234741124903,Plateau,NGN
REF200221,0047338124,AMARA LAWAL,access bank Victoria Island,Salary Credit,POS,n/a,not set,06:49 AM,Failed,0016150444,+234265676618,Cross River,ngn
REF200358,0089254563,Zainab Ogundimu,GTBANK Wuse 2,Bill Payment,Branch,"₦264,570.38",26-May-2025,02:21,SUCCESSFUL,NIL,13736785082,Ogun,NGN 
REF200407,0036687537,Wale Adekunle,ACCESS BANK Garki,,Agent Banking,432120.82 naira,14-May-2026,14:58,Successful,0055176955,(945) 228-8515,Enugu,NGN 
REF200188,0046231783,BOLA LAWAL,Access Bank Wuse 2,Salary Credit,ATM,"NGN 908,604",25/08/2025,20:21,successful,0072043515,+234877470168,Fct Abuja,USD
