CaseID,CaseNumber,ClientName,ClientPhone,CaseType,CourtName,AssignedLawyer,DateFiled,NextHearingDate,ClosingDate,CaseStatus,Outcome,LegalFeeNGN,AmountPaidNGN,State,ProBonoCase
CASE200312,SUIT/FHC/5896/2023,Kemi Adekunle,234-179-576-024,Property law ,Federal High Court Lagos,Ngozi Adeyemi,07/04/2019,2019/12/24,10-Mar-2021,Settled,Pending,77189.52 naira,"N65,264",Abuja,No
CASE200008,SUIT/FHC/2617/2019,Tobi Ogundimu,234-416-335-658,Civil Litigation,Kano State High Court,Ibrahim Eze,28-Jun-2022,01/15/2024,,settled out of court,NIL,"N15,732,216","N9,816,878",Kaduna,N
CASE200422,--,Tobi Nnamdi,invalid,Family Law,Customary Court Enugu,Ifeoma Okafor,24 April 2022,01/05/2023,,Adjourned ,Won,"₦17,944,599.21",4310764.99 naira,Plateau,FALSE
CASE200426,SUIT/FHC/6640/2021,Aliyu Lawal,234-924-195-625,Family Law,Federal High Court Abuja,Wale Afolabi,10/07/2024,10/23/2025,06-Nov-2027,active,won,7485750.02,"N7,844,389",Rivers,false
CASE200369,SUIT/FHC/8379/2022,amara  balogun,0411 076 0954,Commercial Dispute,Kano State High Court,Amaka Adekunle,01/01/2020,06-Oct-2021,,Pending Hearing,Settled,"₦7,128,016.48","₦4,010,419.48",Imo,false
CASE200339,SUIT/fhc/2654/2019,Fatima Adekunle,(296) 044-3270,Criminal Defence,Court of Appeal Abuja,Halima Olawale,12.06.2019,20.03.2020,,Closed,n/a,3093747.78,"₦2,973,304.78",Edo,yes
CASE200020,SUIT/fhc/7207/2024,Ibrahim Bello,44890612034,Civil Litigation,Court of Appeal Abuja,Fatima Chukwu,2020/12/11,2022/10/28,12/16/2022,Adjourned ,--,"NGN 13,380,589","N3,244,616",Imo,yes
CASE200005,suit/FHC/2169/2025,Emeka Ogundimu,09376904268,Commercial dispute,Magistrate Court Ikeja,Amaka Eze,09/16/2019,2020/10/24,19/11/2020,Adjourned,won,24120601.07,"N7,564,350",Anambra,TRUE
CASE200026,SUIT/FHC/6788/2021,  FATIMA AJAYI,(762) 202-3413,civil litigation,Federal High Court Lagos,Segun Ogundimu,2020/06/29,22 January 2022,,CLOSED,Settled,"₦5,463,134.79","NGN 2,031,568",Ogun,true
CASE200284,SUIT/fhc/9689/2019,Chioma Ogundimu,0242 875 7215,Labour Law,Magistrate Court Ikeja,musa ajayi,11 August 2023,12-Feb-2024,21/06/2024,Settled,,"₦5,808,986.04",?,Imo,FALSE
CASE200212,SUIT/fhc/8533/2025,   Kemi Yusuf,0980 562 6565,Civil Litigation,Kano State High Court,Funmilayo Okafor,24/12/2024,05/12/2025,07.03.2026,Struck Out,won,19421323.06,"₦13,212,981.98",Imo,TRUE
CASE200388,SUIT/FHC/3470/2021,Emeka Adeyemi,234-596-309-938,Labour Law,Lagos State High Court,Kemi Okafor,27-Nov-2020,27/08/2022,N/A,settled out of court,Settled,"₦11,342,097.87","6,316,876.36 ",Kaduna,No
CASE200375,suit/FHC/6449/2021,Zainab Yusuf,+234931109193,Property law ,Federal High Court Abuja,Tunde Ogundimu,21 February 2023,2024/09/17,,Closed,Pending,"₦781,689.99","207,300.95 ",Kaduna,Yes
CASE200007,SUIT/fhc/4072/2022,Bisi Afolabi,+234697357790,Property Law,Federal High Court Abuja,Ngozi Mohammed,30-Jun-2022,2023/02/28,2024/11/16,Settled Out of Court,Withdrawn,"N14,869,924",3868162.75,Lagos,TRUE
CASE200119,suit/FHC/745/2019,Bola  Afolabi,04091570184,Criminal Defence,Federal High Court Abuja,FUNMILAYO OKAFOR   ,25 March 2022,2022/10/23,2023-08-30,Struck Out,pending,"NGN 23,952,228","N24,417,813",Plateau,0
CASE200032,SUIT/FHC/8215/2023,Grace Nnamdi,(642) 400-8254,Civil Litigation,Customary Court Enugu,FATIMA LAWAL   ,2023/11/09,03.08.2024,,Closed,Withdrawn,"NGN 17,938,630",  ,Akwa Ibom,FALSE
CASE200137,suit/fhc/7871/2021,Femi  Okonkwo,01403696566,Labour Law,Lagos State High Court,Adaeze Okafor,12.08.2021,18.04.2023,2024/09/18,CLOSED,pending,"₦9,376,292.10",9744370.39,Enugu,FALSE
CASE200104,suit/FHC/386/2025,SEGUN NWOSU,01455616814,Property law ,Kano State High Court,Ifeoma Nnamdi,07/23/2021,05.02.2023,2024/01/04,Settled Out of Court,LOST,"₦16,770,156.66","N12,446,141",Ogun,1
CASE200197,suit/FHC/3881/2024,Grace Chukwu,+234864015577,Property Law,Federal High Court Lagos,Fatima Adeyemi,11/23/2022,not set,,Struck Out,nil,"N18,722,400",6669006.99,Imo,Yes
CASE200183,SUIT/FHC/3738/2025,   Chinedu Yusuf,01531363631,Commercial dispute,n/a,Segun Lawal,18/07/2021,09.05.2023,,Settled Out of Court,Withdrawn,"₦13,079,201.01",9771881.05 naira,Rivers State,true
CASE200096,SUIT/fhc/2299/2022,Zainab Nnamdi,234-111-751-868,Civil Litigation,Supreme Court Nigeria,Halima Okonkwo,2024-08-31,23 October 2024,2026-11-10,Closed,LOST,"2,768,681.33 ","1,155,368.10 ",ABUJA,0
CASE200146,suit/FHC/1612/2021,Chinedu Eze,234-420-949-407,Commercial dispute,Kano State High Court,Bola Okonkwo   ,25-Apr-2024,08 April 2025,30.05.2027,Closed,Settled,nil,2067679.02,Ibadan,yes
CASE200256,Unknown,Zainab Olawale,+234514846853,CRIMINAL,Court of Appeal Abuja,Bisi Chukwu,2024-10-18,06-May-2026,2028-01-01,Active,won,"N17,001,615","NGN 6,098,963",Delta,Yes
CASE200111,SUIT/fhc/2708/2019,Amaka Okonkwo,05699023557,Employment Law,Customary Court Enugu,Yusuf Nwosu,03/05/2019,11 April 2020,05/01/2021,Closed,?,"NGN 13,538,485",3735501.67 naira,Ogun,Yes
CASE200022,SUIT/fhc/3104/2023,Bola Eze,06159399824,civil litigation,Supreme Court Nigeria,  Tunde Okonkwo   ,08/06/2023,19-Aug-2023,20 November 2024,Active,Settled ,"₦3,265,761.76","₦2,679,718.97",Enugu,Y
CASE200175,SUIT/fhc/7169/2022,Amara Yusuf,+234196207100,Property Law,Kano State High Court,Bisi Adekunle,12/11/2019,08/16/2021,23-Sep-2022,Settled Out of Court,LOST,"₦9,083,167.38","NGN 2,310,759",Port Harcourt,true
CASE200395,SUIT/FHC/6940/2021,Tunde Eze,,CRIMINAL,Court of Appeal Abuja,Kemi Suleiman,2019/08/21,08.08.2020,,Adjourned,Lost,"NGN 21,712,808","₦6,422,865.70",Ogun,0
CASE200301,suit/FHC/7185/2022,Chinedu Eze,+234617945491,Property Law,Kano State High Court,Amara Okonkwo,12.05.2024,09-Oct-2025,07.01.2026,Adjourned ,Settled,13574419.05 naira,5700232.34,Plateau,Y
CASE200411,SUIT/FHC/4566/2024,amaka lawal,0777 901 4754,CRIMINAL,Supreme Court Nigeria,Kemi Lawal,17.09.2024,07-Jul-2026,25 January 2028,Settled,n/a,"₦22,875,011.43","17,039,782.80 ",Enugu,0
CASE200149,SUIT/FHC/4276/2021,adaeze balogun,+234927524372,Family Law,Court of Appeal Abuja,  musa bello,26/11/2020,2021/03/10,07-Mar-2022,Settled,pending,17869708.57,"NGN 14,109,016",Rivers State,true
CASE200409,SUIT/fhc/9099/2023,Chidi Balogun,(672) 994-9387,Employment Law,Magistrate Court Ikeja,Chinedu Balogun,2019-08-01,18.07.2021,06/13/2022,CLOSED,won,"₦12,828,115.72","₦5,114,072.49",Enugu,N
CASE200251,suit/FHC/3664/2020,Ibrahim Mohammed,50769864079,Commercial dispute,Supreme Court Nigeria,Chioma Balogun,02 January 2020,26 December 2020,,Struck Out,,"₦2,930,229.92",1658261.24,Ogun,No
CASE200374,suit/FHC/9966/2024,Bola Bello,0767 699 1507,Family Law,Court of Appeal Abuja,Amaka Olawale,2024-10-09,19-Nov-2024,10/24/2026,CLOSED,won,"4,908,170.02 ","NGN 3,824,560",Lagos,N
CASE200322,SUIT/FHC/6474/2019,Bola Suleiman,0821 456 5328,CRIMINAL,Supreme Court Nigeria,Segun Adekunle,2021/07/17,11 February 2022,02/03/2023,Pending Hearing,Settled ,21370684.09,"₦18,437,540.76",FCT,Yes
CASE200428,SUIT/fhc/1906/2022,Fatima Chukwu,89030914363,Employment Law,Customary Court Enugu,  Chidi Nnamdi,10/15/2023,2024/07/14,22-Jul-2024,CLOSED,LOST,"N22,842,198",5592645.82 naira,Oyo,No
CASE200415,SUIT/FHC/1199/2021,Obinna Nwosu,+234380701765,Property Law,Lagos State High Court,Musa Suleiman,07/26/2024,2025-10-31,24.03.2028,Settled Out of Court,Won,"N482,860","NGN 217,487",Lagos,false
CASE200323,SUIT/fhc/5012/2025,Femi Balogun,03266678507,Property law ,Supreme Court Nigeria,Grace Yusuf   ,2020/10/23,10 May 2021,,CLOSED,Pending,16626889.05,9378239.52,Lagos,1
CASE200129,SUIT/fhc/2235/2020,WALE CHUKWU,06158148769,civil litigation,Lagos State High Court,femi olawale   ,2020/02/03,24/10/2020,22.02.2021,Adjourned ,Won,"₦3,589,881.47","1,334,289.99 ",Anambra,true
CASE200373,NIL,Aliyu  Ajayi,0046 619 6399,Commercial Dispute,Court of Appeal Abuja,Emeka  Lawal,25-Jul-2020,28.11.2020,04-Apr-2021,CLOSED,Settled,"₦18,687,551.20",6090978.16 naira,Delta,TRUE
CASE200351,NIL,Emeka Lawal,01405786170,civil litigation,Magistrate Court Ikeja,Musa Lawal,2020/03/11,21-Nov-2021,,Closed,pending,"NGN 6,125,790","N3,285,290",Lagos,FALSE
CASE200366,SUIT/FHC/5814/2024,Ibrahim Yusuf,0056 641 8775,CRIMINAL,Lagos State High Court,Obinna Abubakar,27-Oct-2019,2020/01/14,2022/01/16,Settled,Lost,21445859.98,7007028.52 naira,Cross River,1
CASE200429,SUIT/fhc/3690/2022,Ibrahim Suleiman,234-102-574-326,Family Law,Supreme Court Nigeria,chinedu balogun,04.09.2024,2024/11/07,,CLOSED,Settled,"₦19,851,165.30","NGN 7,481,538",KANO,yes
CASE200001,SUIT/FHC/4901/2021,Obinna Adeyemi,+234490277038,Commercial dispute,Magistrate Court Ikeja,Adaeze Ajayi,27/12/2020,27/08/2022,,Settled,Withdrawn,"N12,989,619",-,Lagos,no
CASE200399,SUIT/FHC/9894/2022,Adaeze Ajayi,(669) 078-2633,Civil Litigation,Kano State High Court,Emeka Okafor,27 October 2021,10/17/2022,,Pending Hearing,Pending,"₦7,883,084.23",3120639.09,Akwa Ibom,Y
CASE200296,SUIT/FHC/279/2025,GRACE AFOLABI,invalid,Commercial Dispute,Federal High Court Lagos,Kemi Okafor,28.02.2023,14.05.2023,,active,,"N13,296,001","NGN 10,330,513",Abuja,Y
CASE200309,SUIT/FHC/2920/2021,BISI CHUKWU,(496) 050-1667,Commercial Dispute,Supreme Court Nigeria,Ifeoma Lawal,2022-09-15,09/03/2024,2025-08-26,Struck Out,Unknown,"N23,678,197",11607675.74 naira,oyo,N
CASE200123,SUIT/fhc/9563/2025,Yusuf Olawale,21495870207,CRIMINAL,Court of Appeal Abuja,Grace Chukwu,05/11/2019,2021-09-20,09 April 2023,Settled,,"₦13,788,940.24",5692202.11,Akwa Ibom,FALSE
CASE200086,suit/FHC/3458/2022,Bola Eze,12209949993,Commercial dispute,Customary Court Enugu,amara  mohammed   ,21/12/2024,2025/12/27,13-Mar-2027,Adjourned,Lost,"NGN 23,939,670","₦5,141,959.46",Cross River,yes
CASE200371,SUIT/FHC/3878/2021,ibrahim suleiman,(717) 911-0065,Property Law,Federal High Court Lagos,Adaeze Okonkwo,19-Aug-2021,11/24/2021,11-May-2023,Settled Out of Court,pending,"₦2,893,253.56",587898.57,abuja,true
CASE200100,suit/fhc/394/2019,Adaeze Nnamdi,+234397767199,Employment Law,Kano State High Court,Zainab Eze,31.08.2021,N/A,29/04/2024,active,n/a,10912512.68,"NGN 9,948,487",Kaduna,no
CASE200061,NULL,Chidi Okonkwo,00824043350,Family Law,Magistrate Court Ikeja,Ibrahim Suleiman,2019-08-02,04/09/2021,06/21/2023,Adjourned,Won,"₦21,802,105.73","NGN 21,368,818",Akwa Ibom,Yes
CASE200384,-,Musa Olawale,(395) 003-3423,Commercial Dispute,Magistrate Court Ikeja,Bola Afolabi,11/03/2023,05/08/2024,,Settled Out of Court,Withdrawn,"NGN 21,109,855",21756923.42,Imo,TRUE
CASE200272,SUIT/FHC/1374/2025,ibrahim suleiman,234-857-002-720,CRIMINAL,Federal High Court Lagos,Emeka Ogundimu,2021-02-12,06-Sep-2021,,Settled Out of Court,LOST,"₦4,609,665.34","N4,581,935",Port Harcourt,false
CASE200080,suit/FHC/6751/2023,Amara Okafor,(205) 554-3840,Criminal Defence,Federal High Court Lagos,Tunde Lawal,2020/01/16,19.12.2021,01/16/2024,CLOSED,Won,"1,348,734.01 ","N353,197",Plateau,N
CASE200023,SUIT/FHC/3196/2025,Ngozi Ogundimu,234-587-716-947,CRIMINAL,Court of Appeal Abuja,musa adeyemi,2019-12-09,17-Mar-2020,,Active,NULL,"N15,402,255","NGN 9,153,525",Rivers State,Yes
CASE200207,SUIT/fhc/7490/2022,Musa Okonkwo,0410 672 7520,Property Law,Court of Appeal Abuja,Tobi Okeke,08.01.2019,05-Feb-2020,07/19/2020,Adjourned,Settled ,23126375.6,22159835.38 naira,Edo,No
CASE200210,SUIT/fhc/8410/2023,Amara Eze,+234150939834,Property law ,Supreme Court Nigeria,Ngozi Olawale,00/00/0000,05/01/2024,22 June 2026,Active,Settled ,4311832.47 naira,4238056.36,Enugu,1
CASE200051,SUIT/FHC/436/2024,Amara Okafor,03878294565,civil litigation,--,Blessing Lawal,20/02/2020,2020/09/05,,active,Settled ,18521892.01,"19,485,126.45 ",Abuja,FALSE
CASE200325,SUIT/fhc/5087/2021,chinedu eze,0029 084 6684,Family Law,Kano State High Court,Obinna Ogundimu,28.11.2023,05.03.2025,not set,CLOSED,Withdrawn,"₦12,231,142.57","NGN 9,240,350",Ogun,FALSE
CASE200410,suit/FHC/2566/2020,Halima Ajayi,0302 716 9385,Civil Litigation,Customary Court Enugu,Chioma Nwosu,2021-11-05,2022-10-12,16-May-2023,Settled Out of Court,LOST,"NGN 15,740,257",-,Plateau,Yes
CASE200317,SUIT/FHC/1734/2020,Sadiq Olawale,15619318374,civil litigation,Lagos State High Court,Chidi Balogun,08.01.2021,04 June 2021,,Active,Settled ,"NGN 16,714,107",3761870.48,Ogun,TRUE
CASE200155,NULL,Chidi Okeke,(393) 852-5800,Labour Law,Lagos State High Court,Amara Ajayi,27-Oct-2023,28/01/2025,2025-11-25,Adjourned ,LOST,13871329.24 naira,"₦7,492,301.39",Delta,1
CASE200249,SUIT/FHC/8488/2019,Blessing Eze,+234616556503,Property Law,Kano State High Court,Aliyu Eze,04/15/2024,02.10.2024,07-Jun-2026,CLOSED,pending,nil,"NGN 16,047,159",Lagos,false
CASE200177,suit/FHC/669/2025,Segun Suleiman,invalid,Employment Law,Customary Court Enugu,Emeka Nwosu,2020/07/02,2021-05-16,23-Nov-2021,Adjourned ,Pending,22229637.49,"NGN 17,784,586",Kano,1
CASE200391,SUIT/FHC/5738/2021,WALE CHUKWU   ,02558777496,Labour Law,Kano State High Court,Aliyu Ajayi,2019-11-26,09/23/2021,,CLOSED,LOST,16082424.84 naira,"NGN 8,453,347",Lagos State,N
CASE200283,suit/fhc/7061/2021,Funmilayo Mohammed,+234896465280,civil litigation,Supreme Court Nigeria,Sadiq Yusuf,13/01/2024,2024/02/12,,Adjourned ,Settled ,"NGN 18,867,648","NGN 7,887,710",Plateau,1
CASE200179,suit/fhc/4784/2019,Zainab Okeke,(883) 734-0312,Property Law,Court of Appeal Abuja,  Tunde Adekunle,25.02.2019,not set,2021/04/11,Settled,  ,  ,"N1,838,244",ABUJA,no
CASE200191,SUIT/fhc/4991/2021,Musa Bello,234-325-431-074,Property Law,Supreme Court Nigeria,Segun Yusuf,2022-04-02,21-Oct-2023,16 May 2025,Adjourned ,Withdrawn,"NGN 21,020,375",18647292.79,Akwa Ibom,yes
CASE200381,SUIT/FHC/179/2021,SEGUN EZE,+234652170730,CRIMINAL,Supreme Court Nigeria,Segun Adeyemi,16.09.2021,14-May-2023,17.07.2023,active,NIL,10571667.67,"₦5,302,476.26",Rivers State,FALSE
CASE200332,SUIT/FHC/3005/2023,Ifeoma Nwosu,0492 683 1589,Employment Law,Federal High Court Abuja,Kemi Okeke,2022/12/31,10 October 2023,16-Jan-2025,Struck Out,Lost,15934602.12,"NGN 9,978,217",KANO,false
CASE200075,suit/FHC/332/2024,chioma suleiman   ,+234338848792,Labour Law,Supreme Court Nigeria,Chidi Olawale,12/27/2024,2026-12-04,2029-02-09,Struck Out,pending,"N2,940,998","₦1,209,779.69",Rivers,Yes
CASE200122,SUIT/FHC/7780/2020,Adaeze Suleiman,13858542493,Property Law,Magistrate Court Ikeja,Sadiq Okonkwo,02/01/2024,28 March 2025,10/16/2026,CLOSED,Settled,6065169.23,1771180.75,Edo,FALSE
CASE200078,SUIT/FHC/2008/2023,Bola Mohammed,36815798123,Employment Law,Lagos State High Court,Amaka Eze,19.10.2022,2024-01-17,01/24/2024,Struck Out,LOST,"NGN 24,241,114","23,654,628.47 ",Abuja,no
CASE200161,SUIT/FHC/3412/2025,Bola Ajayi,27128639174,Criminal Defence,Federal High Court Lagos,kunle nnamdi,19-Nov-2021,09/30/2022,22.11.2024,active,Settled ,2933398.74,"2,794,646.44 ",Kaduna,Y
CASE200110,SUIT/FHC/3895/2025,OBINNA AJAYI,234-414-488-501,Property Law,Customary Court Enugu,Blessing Nwosu,28/10/2024,2026/01/30,,Active,LOST,13675820.54 naira,11776155.72,Cross River,Y
CASE200326,SUIT/fhc/4404/2025,Bisi Okonkwo,invalid,Civil Litigation,Magistrate Court Ikeja,Grace Okonkwo,2023/01/01,19.11.2024,2026-08-08,Struck Out,Pending,"NGN 15,860,957","₦8,254,256.31",Anambra,TRUE
CASE200288,SUIT/fhc/4161/2025,Funmilayo Lawal,+234761707587,Employment Law,Court of Appeal Abuja,Ngozi Yusuf,12 January 2024,02-Nov-2025,12/02/2026,Settled,Settled ,"N23,414,360","₦13,757,156.17",Kaduna,Yes
CASE200169,SUIT/FHC/3148/2019,Amara Suleiman,234-061-387-829,Commercial Dispute,NULL,Kunle Suleiman,02/27/2022,2024/02/21,2025-06-02,active,pending,"NGN 8,385,371",8291551.71,Plateau,FALSE
CASE200274,SUIT/fhc/6452/2025,Segun Afolabi,06577242954,Employment Law,Supreme Court Nigeria,kemi  afolabi,00/00/0000,2023/07/09,13.10.2024,Closed,Won,"NGN 21,088,872","₦22,495,857.35",Delta,true
CASE200202,SUIT/fhc/5976/2023,Wale Lawal,234-955-798-877,Commercial dispute,Lagos State High Court,Obinna Olawale,unknown date,07/21/2022,2023-09-18,Closed,Lost,"5,867,627.87 ",,Rivers,no
CASE200049,suit/fhc/1522/2022,tobi  lawal,234-827-448-570,Property Law,null,Chinedu Bello,06-Feb-2020,13-May-2021,2023/02/07,Settled Out of Court,,22021861.92,Unknown,Port Harcourt,TRUE
CASE200159,suit/fhc/5857/2023,Wale Suleiman,07465421406,Property law ,Federal High Court Abuja,Wale Chukwu,28.01.2024,30.10.2024,,Pending Hearing,Lost,24842460.71 naira,6589194.19,Lagos,N
CASE200362,SUIT/FHC/9254/2024,Ifeoma Ogundimu,04337504793,Criminal Defence,Federal High Court Abuja,Kunle Eze,10 December 2021,14/02/2022,,Closed,,"23,182,178.00 ","NGN 5,412,612",Kaduna,FALSE
CASE200139,Unknown,musa afolabi,24220102762,civil litigation,Supreme Court Nigeria,Chinedu Adekunle,05 March 2022,12/19/2023,30-Jun-2025,Settled Out of Court,Pending,"₦6,253,940.31",2741403.69,Ogun,FALSE
CASE200176,SUIT/FHC/743/2023,Ngozi Eze,19467232487,Property law ,Lagos State High Court,Tobi Nnamdi,07/16/2020,01.08.2021,2023/02/20,Adjourned ,,"NGN 17,400,887","NGN 7,654,642",Kaduna,N
CASE200115,suit/FHC/8018/2020,YUSUF ADEKUNLE,+234145046173,Employment Law,Federal High Court Abuja,Bola Olawale,29/06/2021,13-Feb-2022,22/09/2023,Pending Hearing,Settled ,23366681.09,"N11,827,454",Lagos,0
CASE200054,SUIT/FHC/2484/2025,musa okafor,(391) 037-1705,Property law ,Federal High Court Abuja,Aliyu Balogun,06-Oct-2020,10.07.2021,30 April 2022,settled out of court,,12453480.43,"₦3,331,927.04",Kaduna,No
CASE200131,suit/fhc/6859/2023,Bisi Eze,06695832197,CRIMINAL,Magistrate Court Ikeja,  KUNLE NNAMDI,14 July 2020,,2021/04/29,Active,Unknown,"₦2,808,477.77",1964382.08 naira,KANO,N
CASE200206,suit/fhc/7177/2022,Fatima Eze,38055257828,Civil Litigation,NULL,Chidi Suleiman,02/11/2022,10/23/2023,29/01/2024,active,Won,"₦16,309,607.69","NGN 10,802,156",Anambra,N
CASE200387,SUIT/fhc/7644/2022,  CHIOMA OKEKE,invalid,Employment Law,Lagos State High Court,ifeoma balogun   ,00/00/0000,19 May 2023,,Adjourned,pending,"N2,493,858",1733107.73,Oyo,Yes
CASE200257,SUIT/FHC/4052/2025,Kemi Okonkwo,64987820829,Property Law,n/a,Aliyu  Balogun   ,2024-04-24,18-Oct-2025,04/02/2027,Settled,Lost,"₦12,520,295.76","NGN 6,324,012",Ogun,TRUE
CASE200240,SUIT/fhc/979/2019,Amara Adekunle,04657967842,Commercial dispute,Magistrate Court Ikeja,Sadiq Bello,03 May 2019,2020-09-01,04/12/2022,CLOSED,-,15199878.53 naira,"₦6,465,185.83",Oyo,Y
CASE200188,SUIT/FHC/8861/2023,Chioma Okafor,97740633569,Property Law,Supreme Court Nigeria,Blessing Olawale,05-Aug-2021,11/24/2021,not set,Pending Hearing,,"₦4,675,088.37","₦2,777,302.62",Lag,No
CASE200181,SUIT/fhc/1114/2024,Funmilayo Afolabi,234-701-082-207,Commercial Dispute,Customary Court Enugu,Fatima Abubakar,,28-Oct-2022,03/12/2023,Settled Out of Court,Lost,"NGN 14,453,753","N8,098,069",Kano,FALSE
CASE200089,SUIT/FHC/5507/2022,Femi Nnamdi,(046) 333-1279,Property Law,Customary Court Enugu,Ifeoma Okeke,2023-11-16,06 August 2024,2025/01/23,Active,Withdrawn,"NGN 6,690,196",4470627.36 naira,Imo,No
CASE200069,n/a,ngozi suleiman,86416862278,Property law ,null,Aliyu Lawal,not set,16/07/2023,,Adjourned ,Won,"₦2,103,640.93","₦1,816,887.72",Enugu,0
CASE200313,SUIT/fhc/8619/2025,Chinedu Nnamdi,07573839597,Property law ,Kano State High Court,Halima Mohammed,04-Oct-2024,unknown date,16-Dec-2027,Adjourned ,Pending,13090886.75 naira,4491093.36 naira,Imo,TRUE
CASE200377,suit/fhc/785/2019,Fatima Eze,+234024968549,Family Law,Magistrate Court Ikeja,Grace Suleiman,2020-09-03,06 April 2021,,Settled,won,21282002.68,"NGN 12,072,575",Lagos,no
CASE200336,SUIT/FHC/9685/2025,Wale Abubakar,+234728813770,civil litigation,Supreme Court Nigeria,Musa Eze,04/11/2020,05-Jan-2022,04-Nov-2022,Struck Out,,"N8,644,593",4883447.75 naira,Edo,Yes
CASE200037,suit/fhc/9972/2024,Chioma Mohammed,234-735-020-802,Commercial Dispute,Federal High Court Abuja,musa olawale,06/24/2024,2026-02-20,2026-03-11,Adjourned ,pending,"7,870,828.21 ","₦7,813,019.71",Imo,FALSE
CASE200359,SUIT/FHC/8586/2021,kunle mohammed,+234268768118,civil litigation,Customary Court Enugu,Chinedu Adeyemi,13 October 2023,2024/06/04,,settled out of court,,1730722.13,"N561,596",Plateau,N
CASE200385,SUIT/FHC/6665/2021,Ibrahim Mohammed,+234583230241,Property Law,Lagos State High Court,adaeze mohammed,13/12/2024,2025-02-20,2026/02/07,Struck Out,Pending,"₦21,262,716.34","5,983,463.66 ",Kano,N
CASE200315,SUIT/FHC/7119/2021,Obinna Okeke,22329716743,Labour Law,Unknown,Adaeze Adeyemi,20-Aug-2024,2026-05-05,,active,Withdrawn,"₦3,830,034.14","1,356,355.00 ",Akwa Ibom,TRUE
CASE200148,suit/FHC/2625/2024,Sadiq Abubakar,14429444019,Criminal Defence,Customary Court Enugu,Sadiq Balogun,06/05/2022,2024/05/03,2026/03/01,Settled Out of Court,Settled ,"₦11,707,240.21","10,136,020.44 ",Anambra,1
CASE200118,SUIT/FHC/9661/2023,Ngozi Olawale,234-218-230-768,Family Law,Magistrate Court Ikeja,Femi Afolabi,2024/10/07,2026-04-29,2028-06-22,Adjourned ,LOST,8740490.57,"NGN 3,028,672",Plateau,FALSE
CASE200233,SUIT/FHC/1917/2023,Sadiq Adekunle,0138 759 2712,Civil Litigation,Customary Court Enugu,CHIDI AFOLABI,06.08.2020,03/14/2021,,Settled Out of Court,  ,"NGN 20,116,411","₦8,619,826.67",Rivers State,No
CASE200237,-,chinedu  okonkwo   ,+234175207167,Family Law,Kano State High Court,Bola Okonkwo,08/08/2023,29 July 2024,,Adjourned ,N/A,4727916.83 naira,"₦3,985,512.42",Ogun,No
CASE200130,suit/fhc/376/2023,Grace Okafor,(393) 827-6153,Labour Law,Customary Court Enugu,Emeka Yusuf,14/03/2020,29 March 2021,2023-08-30,active,Pending,"₦4,007,031.18","NGN 3,969,880",Delta,No
CASE200406,SUIT/fhc/4373/2023,SADIQ OKAFOR,70231643348,CRIMINAL,Lagos State High Court,Sadiq Afolabi,23-Nov-2021,04/04/2023,,Pending Hearing,NIL,17534865.63 naira,10728154.68,Enugu,0
CASE200171,SUIT/FHC/5665/2020,Zainab Eze,+234041792911,Criminal Defence,Kano State High Court,Chioma Suleiman,2022-07-05,2024/03/08,12 February 2026,Settled Out of Court,Settled,24321660.90 naira,"₦8,530,371.50",Rivers,FALSE
CASE200350,SUIT/fhc/4044/2023,Aliyu Ogundimu,0103 399 3788,Civil Litigation,Kano State High Court,  femi okonkwo,25 April 2022,not set,27.02.2025,active,Won,"₦3,318,997.95","₦1,566,009.22",Ogun,Yes
CASE200057,SUIT/FHC/261/2019,Tunde Afolabi,0288 619 5761,Property Law,Court of Appeal Abuja,Fatima Adeyemi,15 October 2019,08/24/2020,,Settled Out of Court,Won,"NGN 13,403,805","NGN 4,217,908",Cross River,1
CASE200025,--,Chioma Adekunle,+234544964759,civil litigation,Magistrate Court Ikeja,Ifeoma Okonkwo,15-Jan-2023,01-Oct-2023,,Settled,Settled ,15945475.69 naira,"NGN 5,691,225",Edo,1
CASE200404,SUIT/fhc/710/2023,Tunde Nnamdi,+234663618637,Family Law,Court of Appeal Abuja,Chioma Afolabi,10/20/2024,24.05.2026,unknown date,Settled Out of Court,pending,6470989.0,4046800.19,Imo,0
CASE200027,suit/fhc/4125/2025,Chioma Okeke,(611) 178-0068,Property law ,Federal High Court Lagos,Kunle Abubakar,06/12/2020,11.10.2021,,active,won,"₦14,105,931.92","NGN 4,799,827",Akwa Ibom,No
CASE200064,suit/fhc/7720/2022,Emeka Mohammed,234-315-727-919,Employment Law,unknown,ifeoma  eze,2024/03/20,2025-05-04,not set,Adjourned,pending,3303832.02 naira,"NGN 3,514,142",Ogun,0
CASE200239,SUIT/FHC/1495/2021,Chidi Nwosu,53961367499,Family Law,Federal High Court Abuja,Blessing Balogun,2024-10-10,19/08/2025,2026-05-01,Pending Hearing,NULL,"NGN 10,892,323","NGN 10,906,339",Enugu,1
CASE200238,SUIT/FHC/8815/2025,Tobi Lawal,01126691215,civil litigation,Federal High Court Lagos,Fatima Ogundimu,24.04.2023,25.12.2024,28 September 2026,CLOSED,Settled ,"NGN 3,849,090","₦1,584,236.19",Lagos,FALSE
