StudentMatric,StudentName,University,Faculty,Department,DegreeType,Level,EntryMode,DateOfBirth,EnrollmentDate,CGPA,StudentEmail,PhoneNumber,State,ScholarshipHolder
kCa/74919/04,Blessing Eze,Covenant University,Law,Dept of Computer Science,M.Sc.,level 300,UTME ,1995-06-27,13 January 2021,3.09,blessing.eze@oauife.edu.ng,234-914-856-467,Abuja,N
ZQJ/54585/03,  Yusuf Bello,Ahmadu Bello University (ABU),ARTS,Dept of Biochemistry,B.A.,600,Direct Entry,17/12/2010,09/06/2019,3.19,NULL,+234766270289,Kano,0
DLR/94116/03,NGOZI LAWAL,Lagos State University (LASU),Social Sciences,Dept of Physics,B.Ed,300,Direct Entry,unknown date,15.03.2022,4.54,ngozi.lawal@student.unilag.edu.ng,(557) 431-3291,Cross River,false
LBk/22310/03,Yusuf Nwosu,University of Lagos (UNILAG),Social Sciences,Dept of Computer Science,Ph.D,400,direct entry,24 January 1998,03/11/2019,1.57,yusuf.nwosu@oauife.edu.ng,(322) 259-1365,Anambra,Y
LCR/66173/01,Obinna Afolabi,Ahmadu Bello University (ABU),Science,Dept of Computer Science,B.Ed,100,UTME,18-Aug-2000,01 January 2021,3.22,obinna.afolabi@oauife.edu.ng,N/A,Oyo,0
UCk/11862/02,Segun Ogundimu,Covenant University,Engineering,Dept of Computer Science,M.Sc.,500,UTME ,03/29/1999,2024-04-24,3.96,unknown,+234123685160,Ogun,TRUE
cjG/12040/03,  Amaka Suleiman,Covenant University,Social Sciences,Dept of Electrical Engineering,MBBS,400 level,UTME ,08 July 2008,30.12.2023,3.29,amaka.suleiman@gmail.com,234-193-982-807,Delta,FALSE
YiD/70450/03,Fatima Nnamdi,Covenant University,Faculty of Medicine,Dept of Economics,B.Eng,level 300,Direct Entry,11/02/2000,2022/07/03,2.44,fatima.nnamdi@gmail.com,234-647-154-379,Lagos State,yes
MBb/82456/01,Amaka Olawale,University of Nigeria Nsukka (UNN),EDUCATION,Dept of Physics,B.Eng,100,Direct Entry,10/06/1997,03.03.2024,2.54,amaka.olawale@student.unilag.edu.ng,0970 246 2996,Delta,true
JaZ/12101/02,   Ibrahim Suleiman,Ahmadu Bello University (ABU),MANAGEMENT SCIENCES,Dept of Economics,B.A.,200L,Direct Entry,2001/08/24,13-Oct-2018,2.52,ibrahim.suleiman@student.unilag.edu.ng,(303) 856-7700,Delta,FALSE
ESV/51936/02,Bola Adeyemi,University of Nigeria Nsukka (UNN),ARTS,Dept of Law,Bsc,level 300,Post-UTME,1997/10/30,13-Sep-2023,1.17,bola.adeyemi@oauife.edu.ng,07221704303,LAGOS,1
bVM/75664/04,Ibrahim Adekunle,University of Nigeria Nsukka (UNN),Faculty of Medicine,Dept of Biochemistry,B.Sc.,300,Transfer,30.11.1999,2020/07/21,1.71,ibrahim.adekunle@student.unilag.edu.ng,234-452-288-515,Plateau,0
Aca/63613/01,Ifeoma Okafor,University of Nigeria Nsukka (UNN),Arts,Dept of Biochemistry,B.Ed,300,direct entry,2000/07/08,02.10.2022,3.33,ifeoma.okafor@student.unilag.edu.ng,234-450-882-100,Delta,yes
hNb/82816/02,Sadiq Olawale,Ahmadu Bello University (ABU),arts,Dept of Electrical Engineering,bsc,level 300,UTME ,16 August 2002,2022/04/20,2.66,sadiq.olawale@oauife.edu.ng,+234128682300,Enugu,0
ZkP/37392/03,Chioma Bello,University of Nigeria Nsukka (UNN),ENGINEERING,Dept of Computer Science,B.Eng,200L,Post-UTME,2006/06/07,30-Jul-2022,3.74,chioma.bello@student.unilag.edu.ng,234-061-632-945,Kaduna,No
FVR/54839/02,Ifeoma Ajayi,University of Lagos (UNILAG),Science,Dept of Law,B.Sc,400 level,UTME ,07 June 2002,01/02/2024,NIL,ifeoma.ajayi@oauife.edu.ng,+234773926030,Edo,Y
LPA/52661/02,Femi Eze,Lagos State University (LASU),Education,Unknown,B.Sc.,100L,Direct Entry,05-Jan-1999,10/21/2022,1.19,femi.eze@gmail.com,234-862-392-407,Delta,N
JTK/96196/03,Ifeoma Okafor,Obafemi Awolowo University (OAU),ARTS,Dept of Law,B.Sc.,300,UTME ,05 November 2009,23.12.2021,4.69,?,0858 877 0435,LAGOS,N
OOV/79434/03,Chidi Lawal   ,Ahmadu Bello University (ABU),engineering,  ,B.Ed,level 300,Transfer,28.11.2007,18/07/2020,1.27,chidi.lawal@oauife.edu.ng,234-982-258-713,kano,true
gEO/13091/01,MUSA  SULEIMAN,University of Lagos (UNILAG),Law,Dept of Electrical Engineering,B.Sc.,300,UTME,25/02/2007,2021/11/25,4.35,musa.suleiman@gmail.com,234-167-618-472,Enugu,false
ghQ/26963/03,Bola Lawal,Lagos State University (LASU),Management Sciences,Dept of Electrical Engineering,MBBS,200,UTME,N/A,2020/09/08,3.69,bola.lawal@gmail.com,51462704828,Cross River,N
QeK/32091/02,Wale Afolabi,Covenant University,Arts,Dept of Biochemistry,Ph.D,100,utme,16.02.2000,2022/07/28,1.71,wale.afolabi@student.unilag.edu.ng,234-706-537-947,Abuja,yes
QTi/28119/02,Chidi Suleiman,University of Nigeria Nsukka (UNN),Medicine,Dept of Electrical Engineering,Ph.D,400 level,utme,2007-04-05,17/06/2019,4.68,chidi.suleiman@student.unilag.edu.ng,01567933410,Enugu,0
UfN/23695/02,Segun Bello,Covenant University,Medicine,Dept of Physics,B.Ed,400 level,direct entry,2007-11-13,02 November 2021,2.52,segun.bello@oauife.edu.ng,0772 369 2929,Lagos,FALSE
LJf/60831/03,Kemi Chukwu   ,Obafemi Awolowo University (OAU),Engineering,Dept of Economics,M.Sc.,100L,Post-UTME,29.01.2006,2019/11/23,0.96,kemi.chukwu@student.unilag.edu.ng,06788317121,Plateau,TRUE
YKZ/37149/02,Musa Abubakar,Lagos State University (LASU),SOCIAL SCIENCES,Dept of Law,Bsc,400 level,Direct Entry,24/06/2008,14.07.2019,?,musa.abubakar@oauife.edu.ng,0000000000,Plateau,0
hTf/49344/02,Bola Okonkwo,Covenant University,Education,Dept of Economics,B.Ed,level 300,Post-UTME,31.01.1998,01 July 2020,4.59,bola.okonkwo@student.unilag.edu.ng,(103) 886-2912,Edo,0
bcU/16002/01,Amaka Afolabi,Ahmadu Bello University (ABU),Education,Dept of Physics,Bsc,200,Transfer,08.03.1997,19.07.2024,1.57,amaka.afolabi@oauife.edu.ng,00874064039,Plateau,FALSE
GFg/86399/02,Chidi Okafor,Ahmadu Bello University (ABU),Education,Dept of Computer Science,LLB,600,direct entry,2004/03/27,2021/02/03,4.49,chidi.okafor@gmail.com,+234969078447,Rivers,N
MAg/24129/04,CHIDI AFOLABI,Obafemi Awolowo University (OAU),arts,Dept of Biochemistry,Ph.D,100,UTME,,03.10.2023,4.25,unknown,0681 645 3521,Kaduna,true
VJC/52132/04,Bisi Nwosu,Ahmadu Bello University (ABU),Science,Dept of Accounting,bsc,200L,UTME ,2004/03/27,29-Jun-2021,1.9,bisi.nwosu@gmail.com,45868501429,Abuja,1
MGc/82189/01,  Tunde Nnamdi   ,University of Nigeria Nsukka (UNN),MANAGEMENT SCIENCES,Dept of Physics,B.A.,200L,Post-UTME,18.07.1999,2019/04/28,1.23,tunde.nnamdi@student.unilag.edu.ng,05830033542,Cross River,1
KUh/72098/04,Funmilayo Okonkwo,Ahmadu Bello University (ABU),Law,Dept of Economics,B.Ed,500,Transfer,1998-07-17,04.08.2020,3.25,funmilayo.okonkwo@oauife.edu.ng,0400 842 7109,Lagos,1
IQS/54770/03,Amara Mohammed   ,Obafemi Awolowo University (OAU),Law,Dept of Economics,B.Sc.,300,UTME,13.02.2010,28-Mar-2023,3.13,amara.mohammed@student.unilag.edu.ng,09399091699,Plateau,Y
ARR/18688/01,Sadiq Nwosu,Lagos State University (LASU),Arts,Dept of Economics,LLB,400,direct entry,05/02/2005,00/00/0000,2.58,  ,+234713247546,Cross River,yes
bCk/17742/03,Ngozi Okeke,University of Lagos (UNILAG),education,Dept of Physics,B.A.,100,Transfer,11/03/2002,2022/03/14,1.05,-,(989) 921-7223,Delta,N
FHH/60145/04,   Blessing Afolabi,Obafemi Awolowo University (OAU),Education,Dept of Accounting,bsc,200L,Direct Entry,14 March 1996,03/25/2020,?,blessing.afolabi@student.unilag.edu.ng,(175) 183-0469,Lagos,0
UJF/76968/04,Grace  Adekunle   ,Obafemi Awolowo University (OAU),EDUCATION,Dept of Accounting,B.A.,200L,Direct Entry,2007/10/24,26-May-2020,4.74,grace.adekunle@gmail.com,(079) 030-6738,Rivers,Yes
WOc/49677/03,Obinna Eze,Ahmadu Bello University (ABU),ARTS,Dept of Physics,bsc,500,Transfer,06 February 2006,2020-12-22,3.67,obinna.eze@gmail.com,04738299737,Kano,TRUE
iGc/39368/01,obinna yusuf,Ahmadu Bello University (ABU),law,Dept of Economics,B.A.,200,UTME ,30.10.2003,28 March 2024,4.78,obinna.yusuf@student.unilag.edu.ng,(754) 330-3654,Plateau,FALSE
ccR/16569/04,Chioma Yusuf,Obafemi Awolowo University (OAU),Management Sciences,Dept of Biochemistry,B.Sc.,400 level,UTME,2002-06-03,2019-03-14,2.0,chioma.yusuf@oauife.edu.ng,03412528669,Edo,FALSE
XYk/42532/02,  TOBI OGUNDIMU,Lagos State University (LASU),Arts,Dept of Physics,Ph.D,300,Direct Entry,04.04.1998,24.12.2021,2.91,tobi.ogundimu@student.unilag.edu.ng,(437) 575-8441,Anambra,Yes
aEe/64689/04,Amara Suleiman,Lagos State University (LASU),Medicine,Dept of Biochemistry,LLB,400 level,Direct Entry,2001-05-19,02.03.2019,NULL,amara.suleiman@gmail.com,234-758-416-169,Lagos,Yes
eCj/56829/01,Wale Okafor,Obafemi Awolowo University (OAU),Education,Dept of Accounting,bsc,400 level,Transfer,2008-08-23,2019-07-10,N/A,wale.okafor@gmail.com,234-781-414-139,Kaduna,TRUE
UIj/78019/02,BLESSING NNAMDI,Ahmadu Bello University (ABU),Education,Dept of Law,B.Sc.,level 300,Direct Entry,30/12/2005,25 January 2021,3.69,blessing.nnamdi@gmail.com,(687) 056-8566,Akwa Ibom,FALSE
YGB/28654/03,Tunde Nwosu,Covenant University,Arts,Dept of Law,B.Sc.,300,Direct Entry,18-May-2005,2019-10-16,4.01,tunde.nwosu@oauife.edu.ng,96627828274,Abuja,Yes
Eed/50499/03,  CHIOMA OLAWALE,Ahmadu Bello University (ABU),ENGINEERING,NULL,B.Ed,600,UTME ,18/02/2006,05/22/2021,2.31,chioma.olawale@student.unilag.edu.ng,234-751-701-660,Kano,Y
Uhk/85377/04,Segun Adeyemi,Covenant University,Education,Dept of Economics,M.Sc.,200L,direct entry,2006/08/29,10-Oct-2019,0.91,N/A,0436 713 6959,Ogun,1
BGN/51039/03,Ibrahim Ajayi,University of Nigeria Nsukka (UNN),SCIENCE,Dept of Physics,Bsc,300,utme,2001/07/10,02/03/2019,4.69,ibrahim.ajayi@student.unilag.edu.ng,09805009788,Anambra,false
NTf/29516/03,Tunde Ajayi,Obafemi Awolowo University (OAU),arts,Dept of Economics,B.A.,300,direct entry,03/17/2003,29/09/2018,2.75,tunde.ajayi@oauife.edu.ng,234-170-999-173,Imo,false
kPF/19884/01,Chinedu Mohammed,Covenant University,arts,Dept of Physics,B.Sc,200,Direct Entry,17.05.2003,2020/08/26,0.79,chinedu.mohammed@gmail.com,02681177589,Rivers,Y
MTK/65611/03,Femi Chukwu   ,University of Nigeria Nsukka (UNN),arts,Dept of Computer Science,MBBS,100,utme,29.02.2000,15-Mar-2022,unknown,femi.chukwu@oauife.edu.ng,(740) 344-7134,Akwa Ibom,No
PJj/59054/01,Fatima Okonkwo,Ahmadu Bello University (ABU),medicine,Dept of Computer Science,Bsc,100L,Post-UTME,24-Jul-1999,25.04.2021,2.46,fatima.okonkwo@student.unilag.edu.ng,+234623166587,Kaduna,Y
hhc/51541/03,Aliyu Suleiman,Ahmadu Bello University (ABU),Arts,Dept of Economics,B.A.,400,utme,26-Feb-1996,2024-08-01,3.23,aliyu.suleiman@student.unilag.edu.ng,(208) 121-9136,kano,N
Ujg/22372/04,  Aliyu Okafor,Ahmadu Bello University (ABU),SOCIAL SCIENCES,Dept of Physics,M.Sc.,500,UTME,25-Dec-1995,15/06/2021,4.63,aliyu.okafor@gmail.com,0000000000,Enugu,No
kMa/29876/04,Chioma Nwosu,Ahmadu Bello University (ABU),SCIENCE,N/A,M.Sc.,100,Transfer,25.12.1997,20-Oct-2018,1.38,chioma.nwosu@student.unilag.edu.ng,03289861434,Edo,0
hUM/83160/01,Bisi Balogun,Covenant University,Social Sciences,Dept of Computer Science,B.Sc,100L,direct entry,2004/09/20,05-Feb-2019,0.95,bisi.balogun@student.unilag.edu.ng,+234493534874,Edo,No
cJe/92434/02,  Wale Okonkwo,Lagos State University (LASU),MEDICINE,Dept of Physics,MBBS,100L,direct entry,2007/01/15,20 March 2021,4.43,wale.okonkwo@student.unilag.edu.ng,47411249035,Kano,Y
VJC/52132/04,Bisi Nwosu,Ahmadu Bello University (ABU),Science,Dept of Accounting,bsc,200L,UTME ,2004/03/27,29-Jun-2021,1.9,bisi.nwosu@gmail.com,45868501429,Abuja,1
EWf/97802/01,Chioma Olawale,University of Lagos (UNILAG),Medicine,Dept of Biochemistry,MBBS,200,Post-UTME,22-May-2008,06/06/2023,2.27,chioma.olawale@student.unilag.edu.ng,0036 690 9670,Port Harcourt,true
PaM/15974/03,Amaka Olawale,Ahmadu Bello University (ABU),Education,Dept of Economics,bsc,100L,UTME,24.02.2005,2019/05/19,?,amaka.olawale@gmail.com,invalid,Plateau,No
aDF/51878/01,Ifeoma Balogun,Covenant University,ENGINEERING,Dept of Accounting,B.Eng,200L,Post-UTME,1996-05-02,unknown date,unknown,ifeoma.balogun@student.unilag.edu.ng,+234257905072,Delta,FALSE
YOC/21736/04,Zainab Mohammed,Obafemi Awolowo University (OAU),EDUCATION,Dept of Electrical Engineering,Ph.D,level 300,Post-UTME,10-Apr-2010,09/15/2023,1.12,zainab.mohammed@student.unilag.edu.ng,74167243426,Edo,TRUE
SgC/51171/04,Tobi Okeke,Lagos State University (LASU),education,Dept of Law,B.Sc.,400 level,UTME,unknown date,10-Jul-2024,1.18,NIL,(339) 500-4797,Rivers,N
gXa/62409/04,Emeka Nwosu,Ahmadu Bello University (ABU),Law,Dept of Computer Science,B.Sc,200L,Post-UTME,1997-03-18,20/05/2020,3.64,emeka.nwosu@oauife.edu.ng,08932460953,Kaduna,no
Sia/43462/04,Funmilayo Suleiman,Lagos State University (LASU),ARTS,Dept of Accounting,Ph.D,200L,utme,14/02/2007,2023-06-27,4.46,NIL,93333468007,Anambra,No
iDk/28442/04,  Emeka Okafor,Ahmadu Bello University (ABU),EDUCATION,Dept of Accounting,bsc,100L,Transfer,1997/09/04,04-Feb-2023,0.73,emeka.okafor@oauife.edu.ng,+234686508637,Oyo State,Yes
JCX/46357/04,Bisi Balogun,Lagos State University (LASU),Management Sciences,Dept of Electrical Engineering,B.Ed,level 300,utme,27.06.1996,07 May 2023,3.03,bisi.balogun@gmail.com,(518) 203-7788,Rivers,false
fMi/82146/01,Kemi Yusuf,University of Nigeria Nsukka (UNN),Arts,  ,MBBS,400,Transfer,2010/01/15,2019-10-20,3.7,kemi.yusuf@gmail.com,(074) 329-2712,Anambra,yes
ciU/23182/04,Ibrahim Balogun,Lagos State University (LASU),Arts,Dept of Electrical Engineering,B.Ed,100,UTME ,2001-04-30,09.03.2021,0.51,ibrahim.balogun@oauife.edu.ng,+234993756798,Enugu,TRUE
fkW/54535/01,Amaka Chukwu,University of Lagos (UNILAG),Education,Dept of Economics,B.Eng,100L,Direct Entry,12.01.2005,09/14/2020,4.52,amaka.chukwu@oauife.edu.ng,00532931839,Kaduna,FALSE
Bkf/65918/04,Musa Mohammed,University of Lagos (UNILAG),Science,Dept of Biochemistry,bsc,400 level,utme,22 July 2002,14.04.2021,4.24,musa.mohammed@student.unilag.edu.ng,0660 728 3268,Anambra,Y
ISD/58929/01,Kunle Okafor,Covenant University,Arts,Dept of Law,B.Eng,level 300,utme,31/08/1998,29-Jun-2020,3.48,kunle.okafor@gmail.com,0127 756 1853,Abuja,FALSE
FbH/56479/04,Tobi Adeyemi,Covenant University,MEDICINE,Dept of Biochemistry,LLB,100L,Transfer,23-Aug-1997,28.03.2021,1.66,tobi.adeyemi@gmail.com,59180339740,Lagos,1
Eag/14426/04,Yusuf Afolabi,Ahmadu Bello University (ABU),Engineering,Dept of Accounting,B.Ed,100,Direct Entry,21/06/2005,28.11.2023,?,yusuf.afolabi@oauife.edu.ng,234-922-809-202,Rivers,No
ATR/83473/03,Kemi Ajayi   ,University of Lagos (UNILAG),Law,Dept of Computer Science,M.Sc.,200,Direct Entry,1998/11/17,04.04.2023,3.36,kemi.ajayi@student.unilag.edu.ng,01769367632,Imo,false
eKk/24417/01,Ibrahim Balogun,Ahmadu Bello University (ABU),Social Sciences,unknown,Bsc,level 300,utme,N/A,16.01.2019,1.17,ibrahim.balogun@student.unilag.edu.ng,N/A,Delta,yes
eNQ/22730/03,Chidi Okonkwo,University of Lagos (UNILAG),Social Sciences,Dept of Law,B.Ed,400,direct entry,1998-03-08,2022-06-23,4.61,chidi.okonkwo@gmail.com,03799650752,Cross River,Y
DcO/91087/02,Chidi Adeyemi,Ahmadu Bello University (ABU),engineering,Dept of Physics,M.Sc.,200,direct entry,22-Dec-1997,11/18/2020,1.83,chidi.adeyemi@gmail.com,0647 102 7677,abuja,N
DIN/81707/03,Wale Adekunle,Covenant University,SCIENCE,Dept of Computer Science,B.A.,400 level,UTME ,07.11.2000,2023-05-24,1.4,wale.adekunle@oauife.edu.ng,08963834657,Imo,TRUE
GbU/96146/01,Funmilayo Okonkwo,Obafemi Awolowo University (OAU),Engr,Dept of Biochemistry,Ph.D,300,Transfer,2004/03/28,24.01.2021,4.47,funmilayo.okonkwo@gmail.com,234-284-395-995,Ibadan,false
SCZ/54388/02,Sadiq Adekunle,University of Nigeria Nsukka (UNN),Engineering,Dept of Electrical Engineering,B.Eng,500,Post-UTME,18-Feb-2006,09/29/2019,3.23,sadiq.adekunle@oauife.edu.ng,0319 520 5852,Rivers,Yes
VQN/13584/03,Adaeze Yusuf,Lagos State University (LASU),Science,Dept of Law,B.Sc.,200,UTME ,1995/08/01,2022-07-26,4.6,adaeze.yusuf@gmail.com,(651) 333-8726,Cross River,TRUE
OkQ/98713/01,Obinna Yusuf,Lagos State University (LASU),Science,Dept of Physics,bsc,100,Direct Entry,11-May-2009,not set,3.38,obinna.yusuf@student.unilag.edu.ng,04869594636,Cross River,N
jPF/53786/02,Obinna Chukwu   ,University of Nigeria Nsukka (UNN),Management Sciences,Dept of Economics,M.Sc.,300,Post-UTME,24.07.1998,08/18/2021,3.16,obinna.chukwu@student.unilag.edu.ng,(551) 884-4225,Cross River,false
PeB/23036/02,Funmilayo Okonkwo,Covenant University,LAW,Dept of Electrical Engineering,B.Eng,500,utme,14-Oct-1996,06/26/2023,1.98,funmilayo.okonkwo@oauife.edu.ng,(275) 705-9640,Edo,No
VXV/10358/01,Chidi Okonkwo,Lagos State University (LASU),MANAGEMENT SCIENCES,Dept of Economics,LLB,level 300,Transfer,01 March 2009,08 October 2018,2.12,chidi.okonkwo@student.unilag.edu.ng,00541566765,Delta,false
eOk/12223/02,Amara Okafor,Covenant University,SCIENCE,Dept of Accounting,B.A.,200,UTME ,2008/05/10,2024-08-20,2.99,amara.okafor@oauife.edu.ng,(310) 324-1714,Cross River,TRUE
IfU/90000/01,Grace Bello,University of Lagos (UNILAG),LAW,,LLB,200,Transfer,2005-07-05,03/20/2022,1.61,grace.bello@oauife.edu.ng,234-053-773-515,Ogun,0
CBH/92709/02,Wale Okafor,Covenant University,Arts,null,B.Eng,500,Transfer,18 April 2004,25-Jun-2020,4.45,wale.okafor@gmail.com,0251 355 2157,Akwa Ibom,no
IJe/31004/02,TOBI YUSUF,Ahmadu Bello University (ABU),Law,Dept of Computer Science,B.Eng,300,utme,1996/04/30,2019/06/01,3.9,tobi.yusuf@oauife.edu.ng,234-477-109-324,Lagos,TRUE
HeD/88522/02,Tobi Mohammed,Ahmadu Bello University (ABU),arts,Dept of Computer Science,B.Sc.,400,UTME,24 January 2005,,3.99,tobi.mohammed@oauife.edu.ng,0886 153 3555,Anambra,Y
YJZ/57934/01,Blessing Mohammed,Covenant University,engineering,Dept of Economics,M.Sc.,400,UTME,00/00/0000,2018-12-10,4.05,blessing.mohammed@oauife.edu.ng,(789) 611-8367,Ibadan,FALSE
NJa/67215/03,IFEOMA OLAWALE,University of Lagos (UNILAG),SOCIAL SCIENCES,Dept of Economics,bsc,400 level,Post-UTME,24 May 2008,30/10/2021,3.66,ifeoma.olawale@student.unilag.edu.ng,234-257-991-366,Kano,false
Zjc/50844/04,Chioma Adekunle,Covenant University,Management Sciences,-,B.Sc,500,Transfer,04/09/2010,16 June 2021,4.89,chioma.adekunle@gmail.com,66296194311,Cross River,0
kbU/85781/02,Aliyu Bello,Obafemi Awolowo University (OAU),Arts,Dept of Electrical Engineering,bsc,400,Transfer,2008-05-22,2022/01/20,1.9,aliyu.bello@student.unilag.edu.ng,0255 341 9283,Fct Abuja,false
LPi/61687/01,Blessing Chukwu,University of Lagos (UNILAG),Law,null,Ph.D,100L,Post-UTME,19 December 2009,03 November 2022,2.81,n/a,46287334270,Ogun,No
aHR/94281/04,Ngozi Nwosu,University of Lagos (UNILAG),law,Dept of Electrical Engineering,B.Sc,200,UTME,27.10.1995,2019/10/02,1.65,NIL,+234995900109,Edo,false
Tji/20441/03,Funmilayo Eze,Covenant University,Engineering,Dept of Electrical Engineering,MBBS,100,Transfer,11-Mar-2000,2019-07-20,0.72,funmilayo.eze@student.unilag.edu.ng,(947) 312-1727,Lagos State,Yes
HEE/79438/04,Amara Olawale,Covenant University,Science,Dept of Economics,B.Sc,300,direct entry,2010/12/21,2019/04/05,3.9,--,24005045562,Enugu,1
RYV/58076/04,Ibrahim Bello,Ahmadu Bello University (ABU),Law,Dept of Economics,B.Eng,level 300,Direct Entry,2003-09-17,05-Dec-2022,0.66,ibrahim.bello@student.unilag.edu.ng,(102) 053-9502,Imo,No
ibj/82800/01,Chidi Okeke,Covenant University,MANAGEMENT SCIENCES,Dept of Accounting,B.Sc,200,Transfer,not set,2023-10-25,2.88,chidi.okeke@student.unilag.edu.ng,05071461125,Plateau,FALSE
ZkJ/19550/02,Segun Okafor,Lagos State University (LASU),Social Sciences,Dept of Computer Science,bsc,500,Direct Entry,09 May 1997,07.09.2023,3.59,segun.okafor@student.unilag.edu.ng,07530463745,Akwa Ibom,no
hJO/11221/02,funmilayo okonkwo   ,University of Lagos (UNILAG),Education,NULL,B.Eng,100L,utme,1999/06/18,2020/06/15,1.4,funmilayo.okonkwo@oauife.edu.ng,0199 062 3445,Akwa Ibom,1
aic/76930/03,Kunle Bello,Ahmadu Bello University (ABU),engineering,Dept of Law,B.A.,300,UTME ,12/08/2008,11/07/2019,4.46,kunle.bello@student.unilag.edu.ng,(168) 460-2235,Delta,yes
HgH/15076/02,Ngozi Adekunle,University of Nigeria Nsukka (UNN),Education,Dept of Electrical Engineering,B.A.,200L,Direct Entry,28/12/1995,27 November 2019,3.0,ngozi.adekunle@gmail.com,+234489964235,Ogun,Yes
Rii/64624/01,Emeka Ogundimu,Covenant University,law,Dept of Physics,B.Eng,400 level,Post-UTME,not set,2023/06/28,4.81,emeka.ogundimu@student.unilag.edu.ng,0845 115 4479,Anambra,false
Rjb/66536/04,Halima Okeke,Ahmadu Bello University (ABU),MEDICINE,Dept of Physics,M.Sc.,100,direct entry,2003-05-31,20.11.2022,3.57,halima.okeke@oauife.edu.ng,(754) 121-2678,Delta,yes
ZMI/56271/03,yusuf olawale,Ahmadu Bello University (ABU),social sciences,Dept of Physics,Ph.D,400,UTME ,29 September 2006,2020-09-17,2.27,  ,+234878519108,Anambra,no
RRF/42759/03,kemi okonkwo,Covenant University,Management Sciences,Dept of Physics,B.Sc.,200,Transfer,1997-12-16,03.05.2021,4.58,,234-731-781-080,Delta,true
XWk/21471/01,   grace mohammed,University of Lagos (UNILAG),SCIENCE,NULL,M.Sc.,100L,direct entry,25/09/1995,2020-08-28,1.1,?,00670654051,Delta,FALSE
RUf/51178/02,Emeka Okafor,Covenant University,social sciences,Dept of Economics,B.Sc,400 level,UTME,08/08/2007,01/29/2024,1.16,emeka.okafor@gmail.com,0945 198 3273,Plateau,Yes
jUE/67729/02,Sadiq Suleiman,Obafemi Awolowo University (OAU),Law,Dept of Economics,Bsc,100,Direct Entry,14/03/2001,23 July 2019,4.54,sadiq.suleiman@gmail.com,+234267736026,Lagos,yes
LJe/23538/01,Fatima Bello,University of Nigeria Nsukka (UNN),engineering,Dept of Physics,B.Ed,100L,UTME ,03-May-1996,09/08/2020,null,fatima.bello@student.unilag.edu.ng,05579415521,Ibadan,FALSE
ENf/37097/01,wale abubakar   ,Obafemi Awolowo University (OAU),Arts,Dept of Accounting,LLB,300,utme,1999-12-21,30-Sep-2020,n/a,wale.abubakar@gmail.com,0953 394 2104,Edo,FALSE
WdY/95646/04,aliyu  adeyemi,University of Nigeria Nsukka (UNN),Law,Dept of Computer Science,Ph.D,500,UTME ,17/08/2001,2019/10/20,2.18,NULL,234-615-305-152,LAGOS,FALSE
KGO/80041/02,  Femi Yusuf   ,Ahmadu Bello University (ABU),social sciences,Dept of Economics,B.Sc,100,UTME,22-Jun-2008,03/01/2021,2.47,femi.yusuf@student.unilag.edu.ng,+234267658617,Imo,true
aQf/30991/02,Musa Balogun,University of Nigeria Nsukka (UNN),science,n/a,B.Ed,100L,UTME ,1997/01/06,04.10.2018,2.84,musa.balogun@oauife.edu.ng,31069033119,Kaduna,TRUE
PWj/52072/03,Ngozi Ogundimu,Obafemi Awolowo University (OAU),EDUCATION,Dept of Economics,B.Eng,300,Post-UTME,01/09/2007,2021-09-13,3.39,ngozi.ogundimu@student.unilag.edu.ng,234-271-040-541,Ogun,No
fCU/62425/03,Chioma Okafor,Covenant University,Science,Dept of Accounting,B.Sc.,200L,utme,11-Nov-2006,2018/11/27,1.15,?,0782 922 1699,Port Harcourt,No
BNL/65137/03,  chidi okafor,Lagos State University (LASU),Faculty of Medicine,Dept of Physics,bsc,100,Post-UTME,1999-01-16,2023-12-27,2.19,chidi.okafor@oauife.edu.ng,,Abuja,No
iGa/72083/01,Obinna Chukwu   ,Covenant University,MANAGEMENT SCIENCES,Dept of Electrical Engineering,bsc,400,Direct Entry,07/24/2010,07/22/2024,2.16,obinna.chukwu@oauife.edu.ng,(905) 814-7700,oyo,FALSE
QMg/46732/01,Kunle Lawal,Obafemi Awolowo University (OAU),Science,Dept of Computer Science,B.Eng,500,utme,1998-10-16,00/00/0000,2.14,kunle.lawal@oauife.edu.ng,(352) 904-2284,Lagos,Yes
Sag/93964/03,fatima  eze,Covenant University,ARTS,Dept of Electrical Engineering,M.Sc.,200,UTME,2000-02-09,09/04/2022,1.23,nil,0766 177 1159,Lagos,true
Rkb/49896/04,Obinna Okeke,Obafemi Awolowo University (OAU),ENGINEERING,Dept of Accounting,B.Sc,100,direct entry,unknown date,29.05.2021,0.69,obinna.okeke@gmail.com,0493 759 7383,Akwa Ibom,no
NEj/59209/02,Chioma Suleiman,Lagos State University (LASU),Science,Dept of Law,bsc,500,Transfer,2000-04-20,2022/06/23,2.65,chioma.suleiman@gmail.com,0422 325 3672,rivers,TRUE
KSP/61657/02,Amaka Suleiman,Obafemi Awolowo University (OAU),medicine,Dept of Computer Science,B.Sc.,600,UTME ,04 July 2000,11/02/2020,1.37,amaka.suleiman@oauife.edu.ng,(386) 631-7797,LAGOS,FALSE
