AccountNo,CustomerName,CustomerPhone,DISCO,TariffCategory,AccountType,BillingMonth,UnitsConsumed_kWh,TariffRate_per_kWh,BillAmount,PreviousArrears,TotalAmountDue,PaymentStatus,MeterNumber,State
DISCO434254,Segun Ajayi,(303) 477-8660,PHED (Port Harcourt),R2,Post paid,2024/03/13,2035.34,NGN 84,170968.56 naira,,"NGN 170,969",Partial,MTR1426444,Kaduna
DISCO471560,ngozi okafor,+234659116655,PHED (Port Harcourt),Industrial (D3),Prepaid,22-Apr-2024,148.03,128.8,"N19,066","N79,425",98490.804,Partial,NIL,Plateau
DISCO152925,emeka afolabi,05608331819,IBDC (Ibadan),C1 ,Pre-paid,2024/08/01,1061.35,₦114.57,"NGN 121,599",-,"NGN 121,599",Partially Paid,MTR5169777,Kaduna
DISCO156177,  SADIQ BALOGUN,74996165926,AEDC (Abuja),Industrial (D3),Post paid,02/02/2024,1668.65,NGN 68,113534.94600000001,"NGN 39,248","₦152,782.97",paid,MTR5782865,Delta
DISCO695638,Chioma Okafor,+234207545279,KEDCO (Kano),commercial,prepaid,2024/12/29,1295.95,N96,"₦123,957.62",,"N123,958",Arrears,MTR7104797,Kaduna
DISCO968908,Emeka Adekunle,0389 097 2832,EKEDC (Eko),Industrial (D3),Prepaid,02/03/2024,1406.95,₦68.43,96277.59 naira,,96277.58850000001,Arrears,MTR5499558,Kaduna
DISCO631938,IFEOMA  EZE,(515) 093-9834,IBDC (Ibadan),commercial,Prepaid,21-Mar-2025,1132.44,216.31 ,"NGN 244,958",  ,"N244,958",Arrears,MTR3800108,Anambra
DISCO555989,Musa Mohammed,invalid,AEDC (Abuja),R1,Pre-paid,19/10/2024,1523.35,₦173.51,"NGN 264,316",N/A,  ,Paid,MTR2299316,Kaduna
DISCO508347,Chinedu Adeyemi,02310592745,IBDC (Ibadan),Residential (R1),Prepaid,26-Jun-2024,3755.2,₦168.48,"N632,676","₦49,691.04","NGN 682,367",Unpaid,MTR3337318,Akwa Ibom
DISCO826233,Funmilayo Adeyemi,07174773329,PHED (Port Harcourt),Residential (R2),Post paid,2025/02/12,1365.95,NGN 138,"NGN 189,170",,"₦189,170.42",Arrears,MTR6523544,Kaduna
DISCO425367,Segun Nnamdi,,KEDCO (Kano),Residential (R1),Prepaid,03 May 2025,2952.3,NGN 103,304175.47 naira,unknown,"₦304,175.47",Paid,MTR3596571,Cross River
DISCO233973,Chioma Afolabi,00326642147,AEDC (Abuja),R2,Postpaid,31-Jan-2024,1645.37,₦69.12,"NGN 113,728",,113727.97 naira,Partially Paid,MTR7012532,Abuja
DISCO413456,Ibrahim Ajayi,(683) 272-3865,IKEDC (Ikeja),commercial,Post paid,10 October 2024,1679.06,NGN 82,"N137,364",unknown,"NGN 137,364",Partial,MTR1615730,Kaduna
DISCO560795,Halima Nwosu,+234752308370,IBDC (Ibadan),R1,Prepaid,27 May 2024,3270.9,NGN 141,"N462,113",--,462112.75 naira,UNPAID,MTR1510014,Oyo
DISCO874668,CHINEDU NWOSU,234-919-541-987,AEDC (Abuja),Residential (R2),Post paid,N/A,3166.86,NGN 191,"NGN 605,219","N11,522","616,740.62 ",Partial,MTR9058745,Imo
DISCO445889,Kunle Suleiman,0524 013 2234,KEDCO (Kano),R1,Postpaid,2025/05/23,NIL,NGN 187,381834.0592,  ,381834.06 naira,Arrears,MTR2575706,Edo
DISCO609501,Tunde Chukwu,0465 796 7842,AEDC (Abuja),Residential (R2),Post paid,13-Feb-2025,550.88,₦55.21,"NGN 30,414",Unknown,30414.0848,Arrears,MTR8600275,Edo
DISCO530487,Fatima Yusuf,0384 689 5009,IBDC (Ibadan),Residential (R2),prepaid,17-Jul-2024,4096.57,190.35 naira,"779,782.10 ","51,222.00 ","NGN 831,004",Partial,MTR6357665,Lagos
DISCO720887,Aliyu  Afolabi,+234889921075,AEDC (Abuja),Residential,Prepaid,25.06.2024,3958.36,₦191.91,759648.8676,73945.47,833594.34 naira,paid,MTR6335005,FCT
DISCO935799,  HALIMA AJAYI,234-024-968-549,EEDC (Enugu),commercial,POSTPAID,04/15/2025,3852.56,₦182.63,"₦703,593.03",NIL,703593.03 naira,UNPAID,MTR9373946,KANO
DISCO561822,Ngozi Olawale,26620157201,IKEDC (Ikeja),Residential (R1),Pre-paid,2024/06/15,4308.49,N108,467169.57 naira,,467169.5707,Partial,MTR9422687,Delta
DISCO853681,Segun Afolabi,03491141520,PHED (Port Harcourt),Residential,Pre-paid,03/08/2025,1302.82,106.56,"NGN 138,828",,"138,828.50 ",Paid,MTR8027733,Oyo
DISCO902693,Yusuf Mohammed,0933 051 7289,EKEDC (Eko),Residential,prepaid,2024-03-21,null,₦94.87,393140.3313,,"₦393,140.33",paid ,MTR3857812,Rivers
DISCO660133,EMEKA OKEKE,08184518489,EEDC (Enugu),Industrial (D3),Postpaid,19 September 2024,2770.49,63.11 ,174845.62 naira,"NGN 60,653","NGN 235,499",Arrears,MTR6006338,Oyo
DISCO338896,Amara Adekunle,00501508124,EKEDC (Eko),Residential (R2),Prepaid,05.10.2024,1433.1,57.9,82976.49 naira,,"82,976.49 ",Partially Paid,MTR2924885,Lag
DISCO726666,Ngozi Afolabi,(138) 585-4249,PHED (Port Harcourt),r1,Postpaid,unknown date,1380.02,192.04,"265,019.04 ",N/A,265019.04079999996,Arrears,nil,Imo
DISCO614188,Kemi Okonkwo,+234331060053,PHED (Port Harcourt),R1,Postpaid,03/06/2025,2375.98,NIL,429292.0664,62387.5,"NGN 491,680",Arrears,-,abuja
DISCO317616,Bola Abubakar,234-683-147-276,IKEDC (Ikeja),Commercial (C1),Prepaid,13.08.2024,3164.94,NGN 160,"N506,485",77027.11,"N583,512",paid ,MTR9321947,Anambra
DISCO487512,Adaeze Abubakar,0000000000,KEDCO (Kano),Commercial (C1),Pre-paid,2024/08/03,2567.32,NGN 223,"NGN 573,488",,"N573,488",Paid,MTR3277531,Oyo
DISCO625165,Femi Ajayi,234-531-363-631,EEDC (Enugu),Residential,Post paid,06/21/2025,244.25,₦92.90,Unknown,66484.64,"89,175.46 ",Partial,MTR8054216,Lagos
DISCO990791,Segun Okafor,,EKEDC (Eko),Industrial (D3),Pre-paid,2025-05-16,2221.42,₦77.80,"NGN 172,826",48554.57,"NGN 221,381",Partially Paid,MTR2251341,Ogun
DISCO317243,Aliyu Chukwu,0973 502 0802,EEDC (Enugu),commercial,Post paid,15-Mar-2024,2549.4,NGN 177,"N451,142",?,,Partial,MTR4528404,Rivers
DISCO986904,Amara Bello,234-840-767-899,EKEDC (Eko),r1,Postpaid,04/17/2024,2281.93,160.93 ,367230.9949,N/A,"NGN 367,231",Unpaid,MTR1223625,Plateau
DISCO978425,Blessing Okafor,(771) 333-4476,IKEDC (Ikeja),R1,Prepaid,28 November 2024,2968.38,208.08 naira,Unknown,NULL,"N617,661",UNPAID,MTR1323137,Akwa Ibom
DISCO668016,CHIOMA OKAFOR,0051 292 7663,EKEDC (Eko),C1 ,Prepaid,2024/06/22,1215.99,65.44 naira,unknown,"NGN 14,767","NGN 94,341",paid ,MTR8064344,Plateau
DISCO233689,Bisi Yusuf,(711) 991-8081,IKEDC (Ikeja),Industrial (D3),Post paid,21-Dec-2024,2043.43,₦104.39,"NGN 213,314",,"NGN 213,314",Partial,unknown,Anambra
DISCO828240,Chinedu  Abubakar,0442 094 9407,IBDC (Ibadan),Industrial (D3),prepaid,05-Mar-2024,3478.07,N154,"₦536,874.89",,  ,Arrears,MTR4980974,Delta
DISCO245345,Chinedu Yusuf,(449) 734-7156,PHED (Port Harcourt),r1,POSTPAID,04.08.2024,126.67,NGN 136,"17,186.59 ",NIL,"N17,187",Arrears,-,Enugu
DISCO678735,GRACE AJAYI,234-596-309-938,IKEDC (Ikeja),R1,Pre-paid,23/11/2024,3604.56,66.78 ,"N240,713",null,"N240,713",UNPAID,MTR9451978,Abuja
DISCO410347,Grace Olawale,05472928422,EEDC (Enugu),Industrial (D3),Pre-paid,2024-04-14,2674.53,176.44 naira,"471,894.07 ",Unknown,"NGN 471,894",Partially Paid,MTR7075296,Ogun
DISCO380128,Femi Suleiman,234-890-983-780,IBDC (Ibadan),C1 ,Postpaid,N/A,1478.79,₦164.23,"N242,862",,"242,861.68 ",Partially Paid,MTR8102223,Cross River
DISCO941300,blessing okeke,234-600-412-577,IBDC (Ibadan),Residential,Prepaid,01/08/2025,584.06,unknown,"₦107,934.29",nil,107934.288,Arrears,--,Lagos
DISCO716736,Sadiq Balogun,+234638361517,KEDCO (Kano),Residential,Post paid,24/08/2024,-,NGN 175,512445.83 naira,--,,Paid,MTR3112643,Anambra
DISCO515461,Ngozi Chukwu   ,06424008254,PHED (Port Harcourt),commercial,prepaid,N/A,N/A,N122,"₦493,977.45","N68,675","NGN 562,652",paid,MTR9210920,Abuja
DISCO580762,  Obinna Suleiman   ,06241502745,IKEDC (Ikeja),Residential (R2),Post paid,22 May 2025,3017.59,N225,"₦678,474.94",unknown,"N678,475",Arrears,MTR7809306,Lagos State
DISCO428799,Chioma Yusuf,0014 870 6827,PHED (Port Harcourt),r1,Postpaid,09 October 2024,null,₦113.42,"NGN 347,130",n/a,"347,129.85 ",Arrears,MTR9313362,Kaduna
DISCO143787,Ngozi Olawale,234-498-782-082,AEDC (Abuja),commercial,Pre-paid,2024/09/17,2027.77,214.53,435017.4981,"N13,057","₦448,074.86",paid ,MTR2160153,Ogun
DISCO758641,Sadiq Chukwu,41067275208,AEDC (Abuja),Residential (R2),Pre-paid,07/09/2024,3049.69,220.19 naira,"₦671,511.24",--,"₦671,511.24",Arrears,MTR5822224,Enugu
DISCO204622,Kunle Bello,234-867-177-318,IKEDC (Ikeja),R2,prepaid,02/01/2025,n/a,NGN 163,"₦114,951.53",,"NGN 114,952",paid ,MTR8576723,Abuja
DISCO574320,Segun Ogundimu,01492164334,AEDC (Abuja),r1,Postpaid,27/08/2024,237.15,113.02 naira,"N26,803",Unknown,,Partial,MTR4690182,Anambra
DISCO109564,Obinna Okeke,0577 245 9928,EKEDC (Eko),C1 ,Pre-paid,not set,-,₦194.89,870273.4994,Unknown,NULL,Partially Paid,MTR5862847,Ogun
DISCO727882,Halima Nwosu,,EEDC (Enugu),Residential (R2),Prepaid,11/02/2024,3156.94,171.36,"NGN 540,973",?,540973.2384,Unpaid,MTR5406317,Anambra
DISCO716249,  bisi eze,+234924195625,AEDC (Abuja),Residential,Pre-paid,06-Jan-2024,2190.98,₦114.62,251130.13 naira,Unknown,"NGN 251,130",Partially Paid,MTR1660353,Imo
DISCO639984,  Ifeoma Yusuf,+234811556260,IKEDC (Ikeja),C1 ,prepaid,12/08/2024,2666.62,142.35 naira,"NGN 379,593","NGN 36,508","NGN 416,101",paid,MTR7649529,Ibadan
DISCO148218,Zainab Adekunle,+234715099768,EKEDC (Eko),R2,POSTPAID,11/27/2024,1032.32,N152,"NGN 156,758",,156757.79 naira,Arrears,MTR8535192,Lag
DISCO308057,MUSA  ADEYEMI   ,234-878-294-565,IKEDC (Ikeja),Industrial (D3),prepaid,03-Feb-2025,594.66,N183,"₦108,935.77",,"108,935.77 ",paid ,?,Akwa Ibom
DISCO740361,Aliyu Okeke,07214586833,PHED (Port Harcourt),r1,Prepaid,11.01.2025,935.76,176.50 ,"N165,162",,"NGN 165,162",Partially Paid,MTR5434109,Cross River
DISCO846198,Sadiq Abubakar,(528) 506-7625,EEDC (Enugu),Residential,POSTPAID,29 May 2025,3796.78,₦140.36,"NGN 532,916","₦14,334.58","NGN 547,251",Unpaid,MTR6830521,Delta
DISCO369966,Grace Adekunle,0312 206 8155,EEDC (Enugu),r1,Postpaid,10/03/2024,1719.51,NGN 141,"NGN 241,935",,"₦241,935.06",paid,MTR2098795,KANO
DISCO538406,Kemi Chukwu,0011 939 3250,EEDC (Enugu),Residential,Prepaid,18/07/2024,686.61,NGN 62,"N42,687","₦20,118.12",62804.66 naira,Paid,MTR8020861,Delta
DISCO229489,  ifeoma mohammed,0096 105 5661,PHED (Port Harcourt),Commercial (C1),Pre-paid,19/01/2024,2898.67,N190,"NGN 552,023",,"552,022.71 ",Arrears,MTR4536982,Edo
DISCO553324,BLESSING AFOLABI,+234946723248,EEDC (Enugu),r1,prepaid,26/02/2024,91.23,NGN 62,"N5,623",?,"₦5,623.42",Paid,MTR8262318,Kaduna
DISCO479256,Blessing Mohammed,+234158148769,IBDC (Ibadan),Residential (R1),Pre-paid,02/18/2024,3206.61,76.36,244856.74 naira,,244856.74 naira,Arrears,MTR9870458,Enugu
DISCO157975,funmilayo nnamdi   ,,KEDCO (Kano),Industrial (D3),prepaid,2024/12/20,2506.18,NGN 61,"N152,852",75210.57 naira,"NGN 228,062",Arrears,N/A,Imo
DISCO438683,Femi Nnamdi,invalid,EKEDC (Eko),Residential (R1),Pre-paid,2024-03-07,129.98,NGN 181,"NGN 23,543",NULL,,paid ,MTR7179124,Kano
DISCO315980,Ibrahim Bello,0821 545 4470,EEDC (Enugu),Residential,Post paid,N/A,1052.47,148.27,"₦156,049.73",,"NGN 156,050",Partial,MTR3460153,Plateau
DISCO721013,Chidi Lawal,234-113-863-383,EKEDC (Eko),Residential (R1),Prepaid,2024/09/27,2342.65,₦109.32,256098.50 naira,,"N256,098",Arrears,MTR1293064,Ogun
DISCO789196,Musa Adeyemi,67299493874,EEDC (Enugu),Residential (R1),prepaid,05/09/2025,2974.14,₦190.22,565740.91 naira,,565740.91 naira,Partially Paid,MTR5380896,Ogun
DISCO946159,Segun Ajayi,0020 994 5101,EEDC (Enugu),Residential (R1),Postpaid,19.06.2025,1576.33,225.46 ,355399.36 naira,-,"355,399.36 ",paid ,MTR7792383,oyo
DISCO516600,Kunle Balogun,06718325823,AEDC (Abuja),Residential (R1),Prepaid,2025-05-09,713.79,NGN 191,"NGN 136,170","NGN 11,802",--,Partially Paid,MTR3064034,Anambra
DISCO521754,tobi ogundimu,00290846684,EEDC (Enugu),Commercial (C1),Post paid,12/27/2024,1166.16,135.33 ,"NGN 157,816","30,799.67 ",Unknown,UNPAID,MTR8388081,Oyo
DISCO420630,Tobi Okeke,06329092791,PHED (Port Harcourt),r1,Postpaid,2024/07/20,3655.18,₦101.84,Unknown,NIL,372243.53 naira,paid,NULL,kano
DISCO613160,Emeka Lawal,0497 374 6052,AEDC (Abuja),C1 ,POSTPAID,,31.78,100.41,3191.0298,"NGN 43,820","47,010.91 ",Partial,MTR9555321,Kaduna
DISCO659380,Bisi Bello,(273) 543-5209,PHED (Port Harcourt),Residential (R2),Post paid,2024-01-30,2330.63,NGN 182,424757.32 naira,--,"N424,757",Arrears,MTR7357191,Plateau
DISCO676569,Aliyu Okeke,0000000000,EKEDC (Eko),Residential (R2),Postpaid,23 March 2025,4067.32,NGN 203,"825,503.27 ",,nil,paid,MTR4852656,Imo
DISCO430873,Obinna  Nwosu,07438421503,IKEDC (Ikeja),Residential (R2),Pre-paid,18/01/2024,3175.59,NGN 142,"450,520.95 ",?,"NGN 450,521",Partial,MTR3812861,Oyo
DISCO450421,Aliyu Ogundimu,+234723804682,IKEDC (Ikeja),commercial,prepaid,2024/12/31,1220.86,106.4,"NGN 129,900",,  ,Paid,MTR4541937,Kaduna
DISCO228619,Fatima Ajayi,05197128478,EKEDC (Eko),Residential (R2),POSTPAID,2024/02/07,,219.3,217337.27 naira,"₦61,326.66","N278,664",UNPAID,MTR1561089,Enugu
DISCO507539,Bola Okonkwo,01227770793,AEDC (Abuja),C1 ,prepaid,08-Jan-2024,1582.43,N82,"₦129,822.56",--,,Unpaid,MTR2373530,Edo
DISCO787132,Zainab Lawal,85106794975,EEDC (Enugu),Commercial (C1),POSTPAID,00/00/0000,--,70.26 ,8244.31 naira,71155.72 naira,79400.03 naira,Unpaid,MTR3683022,Kano
DISCO271306,Emeka Nnamdi,01647090063,EKEDC (Eko),r1,Prepaid,2024/03/23,1266.18,₦216.53,274165.95540000004,"₦29,326.65","N303,493",Partial,MTR6981197,Imo
DISCO676569,Aliyu Okeke,0000000000,EKEDC (Eko),Residential (R2),Postpaid,23 March 2025,4067.32,NGN 203,"825,503.27 ",,nil,paid,MTR4852656,Imo
DISCO677348,Bola Nnamdi,0762 202 3413,KEDCO (Kano),Residential (R1),Post paid,11-May-2024,1856.76,134.47,"N249,679",  ,NULL,Arrears,MTR1230532,Kaduna
DISCO525969,Musa Balogun,234-573-839-597,IKEDC (Ikeja),Residential (R1),Prepaid,10.04.2025,873.59,188.19 naira,164400.90 naira,,164400.9021,Arrears,MTR9703225,Imo
DISCO716481,Obinna Ajayi,08816093068,EKEDC (Eko),R1,POSTPAID,29/05/2025,1165.29,N211,245701.39649999997,n/a,245701.39649999997,Partially Paid,MTR9447471,Lagos
DISCO872444,Kunle Nwosu,0140 578 6170,KEDCO (Kano),Residential (R1),Prepaid,2024/10/22,546.27,NGN 93,"NGN 50,770",,"NGN 50,770",Arrears,MTR8748475,Imo
DISCO319838,Bisi Olawale,+234603248413,AEDC (Abuja),commercial,Postpaid,18 November 2024,3568.64,69.92 naira,"NGN 249,519","N66,162","N315,682",Paid,MTR4069767,Rivers State
DISCO201117,Amara Mohammed,0774 233 3059,AEDC (Abuja),R1,prepaid,30-Jan-2024,339.1,205.59 naira,69715.569,"₦45,159.55","NGN 114,875",Paid,MTR5220854,Kaduna
DISCO660133,EMEKA OKEKE,08184518489,EEDC (Enugu),Industrial (D3),Postpaid,19 September 2024,2770.49,63.11 ,174845.62 naira,"NGN 60,653","NGN 235,499",Arrears,MTR6006338,Oyo
DISCO401972,Chioma Bello,98253092511,EEDC (Enugu),Commercial (C1),Postpaid,10 May 2024,3151.53,₦139.51,439669.95 naira,,,Unpaid,MTR5503509,Edo
DISCO812931,IFEOMA MOHAMMED,(891) 371-8949,AEDC (Abuja),R2,POSTPAID,2024-11-17,3159.27,86.17,272234.30 naira,  ,272234.2959,Arrears,MTR1762951,Delta
DISCO325402,Funmilayo Lawal,85962630136,EKEDC (Eko),Commercial (C1),Post paid,13/07/2024,4308.78,N163,"N704,012",--,"N704,012",UNPAID,MTR7444535,Ibadan
DISCO799957,  Kunle Eze   ,61085732788,IBDC (Ibadan),Residential (R1),Post paid,12.03.2025,1220.2,92.42 naira,"NGN 112,771",,"N112,771",paid,MTR8868993,Ogun
DISCO546949,bola adekunle,234-184-787-005,IBDC (Ibadan),commercial,prepaid,11/01/2024,2508.15,124.63 naira,"₦312,590.73",N/A,312590.73 naira,paid ,n/a,Kaduna
DISCO208433,Femi Yusuf,234-554-781-376,AEDC (Abuja),Industrial (D3),Prepaid,16 April 2024,1780.39,N169,"₦301,348.81",  ,301348.81 naira,paid,MTR3873661,Lagos
DISCO201117,Amara Mohammed,0774 233 3059,AEDC (Abuja),R1,prepaid,30-Jan-2024,339.1,205.59 naira,69715.569,"₦45,159.55","NGN 114,875",Paid,MTR5220854,Kaduna
DISCO656629,Halima Ogundimu,0562 557 7017,PHED (Port Harcourt),Residential,Post paid,18 May 2025,1952.74,NGN 79,"NGN 153,368",,,Partially Paid,MTR3316129,Lagos
DISCO377640,Sadiq Afolabi,+234263296762,KEDCO (Kano),R1,Post paid,12.11.2024,3922.72,₦85.89,336922.42 naira,,336922.42079999996,UNPAID,MTR5532107,Enugu
DISCO271617,Chioma Yusuf,0442 703 1207,EEDC (Enugu),Industrial (D3),prepaid,12/27/2024,3509.67,-,"NGN 602,891","31,026.82 ",--,Partial,MTR7474375,Enugu
DISCO473139,Musa Adeyemi,(644) 249-3631,EEDC (Enugu),Residential (R2),Prepaid,10/09/2024,2254.62,NGN 207,"NGN 466,143",43544.14 naira,"₦509,686.83",Arrears,  ,Edo
DISCO708111,NGOZI ABUBAKAR,+234153991566,IBDC (Ibadan),Residential (R2),prepaid,03 September 2024,1664.44,₦60.44,100598.75 naira,N/A,,Unpaid,MTR4069097,Ogun
DISCO858343,Grace Adekunle,(467) 197-8897,EKEDC (Eko),Residential (R1),Postpaid,09.04.2025,1865.98,₦142.51,"N265,921",65498.74,"NGN 331,420",Partial,MTR5974557,Rivers
DISCO365620,Ifeoma Afolabi,08980271487,EKEDC (Eko),r1,Prepaid,2024-09-03,1231.76,85.95,"₦105,869.77",--,"NGN 105,870",Arrears,MTR9723371,Delta
DISCO910250,Grace Chukwu,03800545228,KEDCO (Kano),R1,prepaid,13/12/2024,825.29,118.34,"NGN 97,665",n/a,97664.8186,Unpaid,MTR1111211,Imo
DISCO258065,FEMI LAWAL,234-206-506-373,PHED (Port Harcourt),Commercial (C1),Postpaid,2025/04/28,2457.62,N58,143131.7888,NULL,,Partial,MTR9658626,Kaduna
DISCO602109,Amaka Okeke,+234371586988,IBDC (Ibadan),Industrial (D3),POSTPAID,22-Jan-2025,--,NGN 161,250432.76 naira,"27,741.51 ",278174.2738,Partial,MTR7605325,Cross River
DISCO427639,Chidi Adeyemi,0665 754 6027,EEDC (Enugu),Residential (R1),POSTPAID,12/09/2024,2612.12,N88,229187.40879999998,"NGN 15,294","N244,481",Arrears,MTR4318864,Delta
DISCO436058,wale eze,234-027-011-686,IBDC (Ibadan),Industrial (D3),Pre-paid,11.12.2024,310.62,77.27 ,"N24,002","₦75,761.09","99,762.70 ",Unpaid,  ,FCT
DISCO986882,Sadiq Olawale,+234955798877,EEDC (Enugu),C1 ,Postpaid,2024/12/23,3235.1,N82,"N264,114",N/A,NULL,Unpaid,MTR9079991,Enugu
DISCO404708,Chioma Ogundimu,(817) 884-7951,AEDC (Abuja),C1 ,Pre-paid,27 March 2025,1794.82,₦122.99,"₦220,744.91","N4,915","₦225,659.54",Paid,MTR8650324,Lagos
DISCO410082,  segun okafor,44714627301,AEDC (Abuja),Residential (R2),Post paid,05/12/2024,1869.68,176.33 ,329680.6744,NIL,"₦329,680.67",Paid,MTR6442146,Anambra
DISCO420559,Obinna Afolabi,0275 784 4683,PHED (Port Harcourt),commercial,Postpaid,2024-10-31,1452.82,229.84 naira,"333,916.15 ",,"₦333,916.15",UNPAID,MTR1900602,Kaduna
DISCO217928,Tobi Yusuf,0975 634 1085,PHED (Port Harcourt),Residential (R2),Postpaid,04/03/2024,3654.95,103.50 ,378287.32499999995,  ,378287.32499999995,Paid,MTR6149426,Plateau
DISCO254591,Ifeoma Lawal,(729) 343-0107,AEDC (Abuja),R2,Prepaid,12-Jan-2025,2925.38,₦55.27,161685.7526,"NGN 73,653","NGN 235,339",UNPAID,MTR7760653,Ogun
DISCO655364,Ifeoma Afolabi,04284347955,AEDC (Abuja),commercial,Prepaid,03/06/2024,4047.33,N83,"NGN 337,021",nil,337021.17 naira,Partial,MTR6072816,Imo
DISCO812556,Musa Nwosu,+234960501667,PHED (Port Harcourt),r1,Pre-paid,23 August 2024,3289.79,N206,nil,N/A,"678,058.62 ",Partial,MTR8222168,Plateau
DISCO536153,Wale Okafor,(561) 655-6503,AEDC (Abuja),Commercial (C1),Post paid,2024/08/06,537.65,161.82,"NGN 87,003",,"₦87,002.52",Partially Paid,MTR5677487,Anambra
DISCO710935,Ifeoma Eze,234-396-136-749,IKEDC (Ikeja),commercial,Post paid,2025-04-22,4362.98,NGN 156,"680,668.51 ",5128.32,"N685,797",UNPAID,MTR1330855,Lagos
DISCO221862,Ibrahim Adeyemi,+234673037183,IKEDC (Ikeja),C1 ,Pre-paid,2025-01-17,3259.22,N136,443710.21079999994,NULL,"N443,710",Partially Paid,MTR1941206,Plateau
DISCO403898,  Kemi Okafor,+234558777496,AEDC (Abuja),R2,Prepaid,29.08.2024,1823.84,nil,Unknown,nil,,paid ,MTR8953858,Oyo
DISCO344157,Amaka Olawale,07374896908,PHED (Port Harcourt),R1,Pre-paid,2025-04-16,1907.54,192.26 naira,366743.6404,"NGN 69,556","N436,299",Unpaid,MTR3735270,Ogun
DISCO454871,TUNDE AJAYI   ,02629251881,IBDC (Ibadan),commercial,Pre-paid,12/18/2024,1903.01,NGN 138,"NGN 262,064",NIL,"262,063.51 ",paid ,MTR4670161,Kaduna
DISCO740828,Ifeoma Nwosu,234-728-813-770,PHED (Port Harcourt),commercial,Prepaid,20-Jun-2025,2710.31,NGN 56,151696.05 naira,Unknown,151696.05 naira,paid,MTR4129448,ABUJA
DISCO734128,Chinedu Abubakar,invalid,IKEDC (Ikeja),Commercial (C1),POSTPAID,11.05.2025,2436.63,N102,"248,146.40 ",-,,Partial,MTR2027269,Rivers
DISCO807226,ZAINAB CHUKWU,01096789940,KEDCO (Kano),Residential (R2),prepaid,21 May 2024,702.48,218.83 naira,"NGN 153,724",  ,"₦153,723.70",Unpaid,MTR6613235,Edo
DISCO591694,Bola Mohammed,+234256434712,AEDC (Abuja),R2,Pre-paid,10/01/2024,143.91,N124,"17,863.55 ",  ,"₦17,863.55",Paid,MTR2288135,Abuja
DISCO551188,Ngozi Okonkwo,(807) 740-6493,IBDC (Ibadan),r1,prepaid,2024-12-15,unknown,N168,"N4,914",null,"NGN 51,456",paid,MTR3293721,Abuja
DISCO615882,Segun Ajayi,(679) 228-7772,PHED (Port Harcourt),Residential (R2),Post paid,07/11/2024,1808.09,NGN 72,129459.24 naira,8782.99 naira,,Paid,MTR9208736,Cross River
DISCO974026,Tobi Lawal,+234712661106,IBDC (Ibadan),Residential,Prepaid,08 April 2024,2210.24,NGN 56,124303.90 naira,"N26,851","N151,155",Arrears,nil,Anambra
DISCO387277,halima ogundimu,22499982795,AEDC (Abuja),commercial,POSTPAID,14 December 2024,40.3,N188,7590.50 naira,N/A,"7,590.50 ",Paid,MTR8268397,Abuja
DISCO643715,Grace Adeyemi,(799) 313-6565,KEDCO (Kano),Residential (R1),Postpaid,16 August 2024,4069.94,N187,"₦759,939.20",--,"N759,939",Paid,N/A,Enugu
DISCO432044,Aliyu Lawal,27617075877,PHED (Port Harcourt),Residential (R2),Pre-paid,08 February 2025,1303.06,unknown,"N268,574",nil,,UNPAID,MTR6600978,Cross River
DISCO599950,Aliyu Balogun,(341) 638-9448,EKEDC (Eko),Commercial (C1),Postpaid,2024/11/24,2598.23,151.91 naira,394697.12 naira,,,paid ,MTR8173568,Kano
DISCO155964,Chinedu Okonkwo,0296 044 3270,EKEDC (Eko),R2,Pre-paid,12.03.2024,4298.07,₦155.72,"NGN 669,295",,669295.46 naira,paid ,MTR4392094,Kano
DISCO388118,Yusuf Bello,0559 042 5979,EEDC (Enugu),R1,Postpaid,30.01.2024,4077.3,74.54,"NGN 303,922","N28,207",332129.37 naira,paid,MTR6873658,Kaduna
DISCO604770,Amaka Ajayi,03370502497,EKEDC (Eko),Residential (R1),Postpaid,20.03.2025,543.81,224.07 ,"N121,852",nil,"NGN 121,852",Partially Paid,MTR1151470,Edo
DISCO224891,Amaka Afolabi,0199 663 6580,EKEDC (Eko),R2,Pre-paid,07 January 2025,221.02,NGN 195,43200.57 naira,NULL,"NGN 43,201",Partial,MTR8758458,Imo
DISCO130416,Sadiq Afolabi,(572) 324-6651,IBDC (Ibadan),R1,Postpaid,24/03/2025,1499.72,₦148.57,"N222,813",,NULL,Paid,MTR2968441,Anambra
DISCO232464,Zainab Mohammed   ,+234061387829,EEDC (Enugu),R2,Pre-paid,12/27/2024,349.79,₦77.87,27238.15 naira,44988.09,"72,226.24 ",Unpaid,MTR8203403,Cross River
DISCO925116,Tobi Okafor,0147 617 4224,EKEDC (Eko),Residential,prepaid,29.02.2024,1646.54,N219,"N361,251","N79,338",,Partial,MTR9234969,Plateau
DISCO185879,Aliyu Olawale,04110760954,AEDC (Abuja),C1 ,prepaid,23.11.2024,1056.43,165.19 naira,"₦174,511.67","NGN 42,378","NGN 216,890",Partial,MTR6551876,Ogun
DISCO841179,Halima Olawale,+234370304531,EKEDC (Eko),R1,prepaid,04-Nov-2024,3211.1,nil,291118.33 naira,  ,291118.326,paid ,MTR9429136,Edo
